"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-122.379569844834
0.0084975,-103.793724618267
0.015995,-98.2998060247222
0.0234925,-94.9608140905967
0.03099,-92.5548402166634
0.0384875,-90.6727156861323
0.045985,-89.1265889295931
0.0534825,-87.8144468080874
0.06098,-86.6746655008389
0.0684775,-85.6671541036503
0.075975,-84.764361033029
0.0834725,-83.9465350048661
0.09097,-83.1990327822487
0.0984675,-82.5106967426589
0.105965,-81.8728295984662
0.1134625,-81.2785200613027
0.12096,-80.7221851677634
0.1284575,-80.1992502494633
0.135955,-79.7059198552891
0.1434525,-79.2390102515076
0.15095,-78.795824642883
0.1584475,-78.3740586717691
0.165945,-77.9717277853816
0.1734425,-77.5871106666333
0.18094,-77.2187046463053
0.1884375,-76.865190180262
0.195935,-76.5254023457826
0.2034325,-76.1983064892654
0.21093,-75.8829827753707
0.2184275,-75.5786053052444
0.225925,-75.284432921753
0.2334225,-74.9997969479516
0.24092,-74.7240921366941
0.2484175,-74.4567689006369
0.255915,-74.197326691665
0.2634125,-73.9453083355153
0.27091,-73.700295161428
0.2784075,-73.4619027967211
0.285905,-73.2297775202807
0.2934025,-73.0035930881445
0.3009,-72.7830479596875
0.3083975,-72.5678628652373
0.315895,-72.3577786658968
0.3233925,-72.1525544644371
0.33089,-71.9519659327254
0.3383875,-71.7558038265698
0.345885,-71.5638726633327
0.3533825,-71.3759895413636
0.36088,-71.1919830833825
0.3683775,-71.0116924885187
0.375875,-70.8349666798663
0.3833725,-70.6616635362341
0.39087,-70.4916491983061
0.3983675,-70.3247974407255
0.405865,-70.160989102728
0.4133625,-70.0001115708918
0.42086,-69.8420583083821
0.4283575,-69.6867284257652
0.435855,-69.5340262890607
0.4433525,-69.3838611612238
0.45085,-69.236146873691
0.4583475,-69.0908015250149
0.465845,-68.9477472039507
0.4733425,-68.806909734651
0.48084,-68.6682184418842
0.4883375,-68.5316059344177
0.495835,-68.3970079049049
0.5033325,-68.2643629447894
0.51083,-68.1336123728946
0.5183275,-68.0047000765015
0.525825,-67.8775723638389
0.5333225,-67.7521778270162
0.54082,-67.6284672145245
0.5483175,-67.5063933125144
0.555815,-67.3859108341369
0.5633125,-67.2669763162972
0.57081,-67.1495480232352
0.5783075,-67.0335858563958
0.585805,-66.9190512701058
0.5933025,-66.8059071926116
0.6008,-66.6941179520746
0.6082975,-66.5836492071565
0.615795,-66.4744678818554
