"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-112.7130843744
0.0084975,-94.1272552980433
0.015995,-88.6333896995285
0.0234925,-85.2944761406197
0.03099,-82.8886108899941
0.0384875,-81.0066249962759
0.045985,-79.4606668797302
0.0534825,-78.1487234240065
0.06098,-77.0091708422166
0.0684775,-76.0019182731779
0.075975,-75.0994141817562
0.0834725,-74.281907338277
0.09097,-73.5347545657871
0.0984675,-72.8467983072085
0.105965,-72.2093403663237
0.1134625,-71.6154697999968
0.12096,-71.0596038172716
0.1284575,-70.5371677382328
0.135955,-70.0443660994689
0.1434525,-69.5780151541612
0.15095,-69.1354180931634
0.1584475,-68.7142705440176
0.165945,-68.3125879380498
0.1734425,-67.9286489407334
0.18094,-67.5609508622807
0.1884375,-67.2081741271943
0.195935,-66.8691536801992
0.2034325,-66.5428557644621
0.21093,-66.2283589046125
0.2184275,-65.9248382127639
0.225925,-65.6315523442118
0.2334225,-65.3478325834714
0.24092,-65.0730736563252
0.2484175,-64.8067259503419
0.255915,-64.5482888924617
0.2634125,-64.2973052830856
0.27091,-64.0533564255317
0.2784075,-63.8160579205254
0.285905,-63.5850560196489
0.2934025,-63.3600244509035
0.3009,-63.1406616448829
0.3083975,-62.92668830238
0.315895,-62.7178452542048
0.3233925,-62.5138915720732
0.33089,-62.3146028960324
0.3383875,-62.1197699493031
0.345885,-61.9291972158911
0.3533825,-61.742701760018
0.36088,-61.560112169504
0.3683775,-61.3812676078046
0.375875,-61.2060169615647
0.3833725,-61.0342180723685
0.39087,-60.8657370428976
0.3983675,-60.7004476090151
0.405865,-60.5382305703973
0.4133625,-60.3789732732832
0.42086,-60.2225691397187
0.4283575,-60.0689172383688
0.435855,-59.9179218925708
0.4433525,-59.769492321815
0.45085,-59.6235423132901
0.4583475,-59.4799899205185
0.465845,-59.3387571864415
0.4733425,-59.1997698886144
0.48084,-59.062957304425
0.4883375,-58.9282519944767
0.495835,-58.7955896024756
0.5033325,-58.664908670135
0.51083,-58.5361504657652
0.5183275,-58.4092588253522
0.525825,-58.2841800050478
0.5333225,-58.1608625441037
0.54082,-58.0392571373731
0.5483175,-57.9193165165895
0.555815,-57.8009953397087
0.5633125,-57.6842500876637
0.57081,-57.5690389679463
0.5783075,-57.4553218244797
0.585805,-57.3430600532959
0.5933025,-57.2322165235756
0.6008,-57.1227555036459
0.6082975,-57.0146425915667
0.615795,-56.9078446499698
0.6232925,-56.8023297448397
0.63079,-56.6980670879553
0.6382875,-56.5950269827324
0.645785,-56.4931807732274
0.6532825,-56.3925007960854
0.66078,-56.2929603352297
