"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-107.854902418169
0.0084975,-89.2691001263476
0.015995,-83.7752933076569
0.0234925,-80.4364815149933
0.03099,-78.0307561545846
0.0384875,-76.1489485159136
0.045985,-74.6032070289917
0.0534825,-73.2915185510437
0.06098,-72.1522592546284
0.0684775,-71.1453382288138
0.075975,-70.2432038810677
0.0834725,-69.4261049172904
0.09097,-68.679398089386
0.0984675,-67.9919257626093
0.105965,-67.3549904804879
0.1134625,-66.761681010704
0.12096,-66.2064143753453
0.1284575,-65.6846158761407
0.135955,-65.1924900301611
0.1434525,-64.7268530699105
0.15095,-64.2850081644082
0.1584475,-63.8646509182069
0.165945,-63.4637967384912
0.1734425,-63.0807242654438
0.18094,-62.7139307828401
0.1884375,-62.3620966876021
0.195935,-62.0240568957345
0.2034325,-61.6987776205465
0.21093,-61.3853373556771
0.2184275,-61.082911181119
0.225925,-60.7907577189212
0.2334225,-60.50820821923
0.24092,-60.2346573723404
0.2484175,-59.9695555292197
0.255915,-59.7124020790963
0.2634125,-59.4627397835541
0.27091,-59.2201499059921
0.2784075,-58.9842480061204
0.285905,-58.7546802934137
0.2934025,-58.5311204526787
0.3009,-58.3132668702316
0.3083975,-58.1008402015112
0.315895,-57.8935812309009
0.3233925,-57.6912489826234
0.33089,-57.4936190481709
0.3383875,-57.3004821011535
0.345885,-57.1116425749158
0.3533825,-56.926917481974
0.36088,-56.7461353574036
0.3683775,-56.5691353108829
0.375875,-56.395766174253
0.3833725,-56.2258857332735
0.39087,-56.0593600337871
0.3983675,-55.8960627538102
0.405865,-55.7358746341708
0.4133625,-55.5786829612649
0.42086,-55.424381096307
0.4283575,-55.2728680461497
0.435855,-55.1240480713429
0.4433525,-54.9778303276223
0.45085,-54.8341285374617
0.4583475,-54.6928606887147
0.465845,-54.5539487577084
0.4733425,-54.4173184544449
0.48084,-54.2828989878278
0.4883375,-54.1506228490525
0.495835,-54.0204256115009
0.5033325,-53.892245745654
0.51083,-53.7660244476893
0.5183275,-53.641705480567
0.525825,-53.5192350265285
0.5333225,-53.3985615500387
0.54082,-53.279635670295
0.5483175,-53.162410042515
0.555815,-53.0468392472863
0.5633125,-52.9328796873302
0.57081,-52.8204894910912
0.5783075,-52.7096284226185
0.585805,-52.6002577972517
0.5933025,-52.4923404026696
0.6008,-52.385840424896
0.6082975,-52.2807233788958
0.615795,-52.1769560434219
0.6232925,-52.0745063998056
0.63079,-51.973343574407
0.6382875,-51.8734377844663
0.645785,-51.774760287117
0.6532825,-51.6772833313427
0.66078,-51.5809801126757
0.6682775,-51.4858247304517
0.675775,-51.3917921474493
0.6832725,-51.2988581517574
0.69077,-51.2069993207229
0.6982675,-51.1161929868455
0.705765,-51.0264172054945
0.7132625,-50.9376507243308
0.72076,-50.8498729543295
0.7282575,-50.7630639423011
0.735755,-50.6772043448211
0.7432525,-50.5922754034819
0.75075,-50.5082589213861
0.7582475,-50.4251372408095
0.765745,-50.3428932219623
0.7732425,-50.2615102227863
0.78074,-50.1809720797269
0.7882375,-50.1012630894242
0.795735,-50.0223679912716
0.8032325,-49.9442719507921
0.81073,-49.8669605437879
0.8182275,-49.790419741219
0.825725,-49.7146358947731
0.8332225,-49.639595723087
0.84072,-49.5652862985859
0.8482175,-49.4916950349075
0.855715,-49.4188096748794
0.8632125,-49.3466182790219
0.87071,-49.2751092145473
0.8782075,-49.2042711448327
0.885705,-49.1340930193389
0.8932025,-49.0645640639557
0.9007,-48.9956737717508
0.9081975,-48.9274118941022
0.915695,-48.8597684321958
0.9231925,-48.79273362887
0.93069,-48.7262979607899
0.9381875,-48.6604521309368
0.945685,-48.5951870613957
0.9531825,-48.5304938864291
0.96068,-48.4663639458216
0.9681775,-48.4027887784838
0.975675,-48.3397601163033
0.9831725,-48.2772698782313
0.99067,-48.215310164594
0.9981675,-48.1538732516187
1.005665,-48.0929515861655
1.0131625,-48.0325377806542
1.02066,-47.9726246081791
1.0281575,-47.9132049978025
1.035655,-47.8542720300198
1.0431525,-47.7958189323878
1.05065,-47.7378390753106
1.0581475,-47.6803259679753
1.065645,-47.6232732544307
1.0731425,-47.5666747098053
1.08064,-47.5105242366556
1.0881375,-47.4548158614417
1.095635,-47.3995437311242
1.1031325,-47.3447021098772
1.11063,-47.2902853759128
1.1181275,-47.2362880184125
1.125625,-47.1827046345621
1.1331225,-47.1295299266842
1.14062,-47.0767586994667
1.1481175,-47.0243858572808
1.155615,-46.9724064015881
1.1631125,-46.9208154284305
1.17061,-46.8696081260016
1.1781075,-46.8187797722959
1.185605,-46.7683257328322
1.1931025,-46.7182414584495
1.2006,-46.6685224831718
1.2080975,-46.61916442214
1.215595,-46.5701629696074
1.2230925,-46.521513896997
1.23059,-46.4732130510194
1.2380875,-46.4252563518465
1.245585,-46.3776397913417
