"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-109.241342624951
0.0084975,-90.6555254405248
0.015995,-85.1616797036942
0.0234925,-81.8228051907769
0.03099,-79.4169933012349
0.0384875,-77.5350753262474
0.045985,-75.9891996999798
0.0534825,-74.6773532851809
0.06098,-73.5379122610714
0.0684775,-72.5307857244543
0.075975,-71.6284220915877
0.0834725,-70.8110700782138
0.09097,-70.0640864471324
0.0984675,-69.3763135755542
0.105965,-68.7390539410719
0.1134625,-68.145396355051
0.12096,-67.5897578666064
0.1284575,-67.0675637878238
0.135955,-66.5750186467872
0.1434525,-66.1089386876687
0.15095,-65.6666270918097
0.1584475,-65.2457794767374
0.165945,-64.8444112632625
0.1734425,-64.4608011058433
0.18094,-64.0934463031788
0.1884375,-63.741027267762
0.195935,-63.4023789318133
0.2034325,-63.0764675255013
0.21093,-62.7623715599656
0.2184275,-62.4592661333398
0.225925,-62.1664098864517
0.2334225,-61.8831340888622
0.24092,-61.6088334509153
0.2484175,-61.3429583442589
0.255915,-61.0850081794318
0.2634125,-60.834525739956
0.27091,-60.5910923117941
0.2784075,-60.3543234778424
0.285905,-60.1238654713828
0.2934025,-59.8993920016472
0.3009,-59.6806014799927
0.3083975,-59.467214587512
0.315895,-59.2589721348531
0.3233925,-59.0556331731109
0.33089,-58.856973321255
0.3383875,-58.6627832809751
0.345885,-58.4728675142947
0.3533825,-58.2870430630056
0.36088,-58.1051384920523
0.3683775,-57.9269929415726
0.375875,-57.7524552744548
0.3833725,-57.5813833080895
0.39087,-57.413643120532
0.3983675,-57.2491084225889
0.405865,-57.0876599884534
0.4133625,-56.9291851384575
0.42086,-56.77357726832
0.4283575,-56.6207354199619
0.435855,-56.4705638895629
0.4433525,-56.3229718690455
0.45085,-56.1778731176246
0.4583475,-56.0351856604448
0.465845,-55.894831511671
0.4733425,-55.756736419686
0.48084,-55.6208296323129
0.4883375,-55.4870436802022
0.495835,-55.3553141767223
0.5033325,-55.2255796328683
0.51083,-55.0977812858552
0.5183275,-54.9718629402006
0.525825,-54.8477708202191
0.5333225,-54.7254534329599
0.54082,-54.6048614407127
0.5483175,-54.4859475422908
0.555815,-54.3686663623765
0.5633125,-54.2529743482809
0.57081,-54.1388296735293
0.5783075,-54.026192147738
0.585805,-53.9150231322963
0.5933025,-53.8052854614101
0.6008,-53.6969433681045
0.6082975,-53.5899624148144
0.615795,-53.4843094282277
0.6232925,-53.3799524380709
0.63079,-53.2768606195552
0.6382875,-53.1750042392231
0.645785,-53.0743546039572
0.6532825,-52.9748840129326
0.66078,-52.8765657123105
0.6682775,-52.7793738524887
0.675775,-52.6832834477363
0.6832725,-52.5882703380563
0.69077,-52.4943111531289
0.6982675,-52.4013832782015
0.705765,-52.3094648218005
0.7132625,-52.2185345851493
0.72076,-52.1285720331852
0.7282575,-52.0395572670765
0.735755,-51.9514709981473
0.7432525,-51.8642945231239
0.75075,-51.7780097006244
0.7582475,-51.6925989288157
0.765745,-51.608045124171
0.7732425,-51.5243317012611
0.78074,-51.4414425535221
0.7882375,-51.3593620349416
0.795735,-51.2780749426123
0.8032325,-51.1975665001035
0.81073,-51.1178223416053
0.8182275,-51.0388284968032
0.825725,-50.9605713764426
0.8332225,-50.8830377585447
0.84072,-50.806214775242
0.8482175,-50.7300899001966
0.855715,-50.654650936573
0.8632125,-50.5798860055357
0.87071,-50.5057835352443
0.8782075,-50.4323322503202
0.885705,-50.3595211617614
0.8932025,-50.2873395572828
0.9007,-50.2157769920596
0.9081975,-50.1448232798555
0.915695,-50.0744684845148
0.9231925,-50.004702911802
0.93069,-49.9355171015718
0.9381875,-49.8669018202527
0.945685,-49.7988480536304
0.9531825,-49.7313469999162
0.96068,-49.6643900630867
0.9681775,-49.5979688464831
0.975675,-49.5320751466571
0.9831725,-49.4667009474525
0.99067,-49.4018384143117
0.9981675,-49.3374798887976
1.005665,-49.2736178833194
1.0131625,-49.2102450760555
1.02066,-49.1473543060628
1.0281575,-49.0849385685661
1.035655,-49.0229910104176
1.0431525,-48.9615049257211
1.05065,-48.9004737516128
1.0581475,-48.839891064192
1.065645,-48.7797505745957
