"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-109.304920776224
0.0084975,-90.7191128163235
0.015995,-85.2252918030839
0.0234925,-81.8864571101009
0.03099,-79.4807001500642
0.0384875,-77.5988522154684
0.045985,-76.0530617384029
0.0534825,-74.7413155781501
0.06098,-73.6019899095175
0.0684775,-72.5949938240649
0.075975,-71.6927757320052
0.0834725,-70.8755843422273
0.09097,-70.1287764098526
0.0984675,-69.4411943035626
0.105965,-68.8041405966729
0.1134625,-68.2107040495184
0.12096,-67.6553016841149
0.1284575,-67.1333588084094
0.135955,-66.6410799460865
0.1434525,-66.1752813366591
0.15095,-65.73326615655
0.1584475,-65.3127300181097
0.165945,-64.9116883367145
0.1734425,-64.5284197611318
0.18094,-64.1614215841145
0.1884375,-63.8093742119545
0.195935,-63.4711125704176
0.2034325,-63.1456028829656
0.21093,-62.8319236537798
0.2184275,-62.5292499737856
0.225925,-62.2368404763533
0.2334225,-61.9540264233389
0.24092,-61.680202517135
0.2484175,-61.414819121193
0.255915,-61.1573756376117
0.2634125,-60.9074148412307
0.27091,-60.6645180090892
0.2784075,-60.4283007149212
0.285905,-60.198409182608
0.2934025,-59.9745171117449
0.3009,-59.7563229038177
0.3083975,-59.5435472298149
0.315895,-59.3359308900486
0.3233925,-59.1332329250484
0.33089,-58.9352289429906
0.3383875,-58.7417096345456
0.345885,-58.5524794504933
0.3533825,-58.367355421159
0.36088,-58.1861660998006
0.3683775,-58.0087506146504
0.375875,-57.8349578164744
0.3833725,-57.6646455103262
0.39087,-57.4976797617113
0.3983675,-57.3339342686757
0.405865,-57.1732897924433
0.4133625,-57.0156336401706
0.42086,-56.8608591941957
0.4283575,-56.7088654828573
0.435855,-56.5595567885522
0.4433525,-56.4128422892225
0.45085,-56.2686357299064
0.4583475,-56.126855121379
0.465845,-55.9874224632441
0.4733425,-55.8502634891346
0.48084,-55.7153074319376
0.4883375,-55.5824868071829
0.495835,-55.4517372129366
0.5033325,-55.3229971447123
0.51083,-55.1962078240664
0.5183275,-55.0713130396832
0.525825,-54.9482589998722
0.5333225,-54.826994195508
0.54082,-54.7074692725383
0.5483175,-54.58963691327
0.555815,-54.4734517257171
0.5633125,-54.3588701403629
0.57081,-54.2458503137478
0.5783075,-54.1343520383493
0.585805,-54.0243366582657
0.5933025,-53.9157669902634
0.6008,-53.8086072497811
0.6082975,-53.7028229815237
0.615795,-53.5983809943077
0.6232925,-53.4952492998502
0.63079,-53.3933970552167
0.6382875,-53.2927945086713
0.645785,-53.1934129486876
0.6532825,-53.0952246559038
0.66078,-52.9982028578197
0.6682775,-52.902321686049
0.675775,-52.8075561359574
0.6832725,-52.7138820285277
0.69077,-52.6212759743058
0.6982675,-52.5297153392935
0.705765,-52.4391782126633
0.7132625,-52.3496433761785
0.72076,-52.2610902752137
0.7282575,-52.1734989912741
0.735755,-52.0868502159231
0.7432525,-52.0011252260318
0.75075,-51.9163058602711
0.7582475,-51.8323744967715
0.765745,-51.7493140318832
0.7732425,-51.6671078599708
0.78074,-51.585739854183
0.7882375,-51.5051943481422
0.795735,-51.4254561185
0.8032325,-51.3465103683124
0.81073,-51.2683427111866
0.8182275,-51.1909391561578
0.825725,-51.1142860932566
0.8332225,-51.0383702797281
0.84072,-50.9631788268697
0.8482175,-50.8886991874522
0.855715,-50.8149191436954
0.8632125,-50.7418267957685
0.87071,-50.6694105507874
0.8782075,-50.5976591122848
0.885705,-50.5265614701272
0.8932025,-50.4561068908579
0.9007,-50.3862849084432
0.9081975,-50.3170853154032
0.915695,-50.2484981543064
0.9231925,-50.1805137096123
0.93069,-50.1131224998435
0.9381875,-50.0463152700721
0.945685,-49.9800829847059
0.9531825,-49.9144168205589
