"Freq [GHz]","dB(S(waveport1:1,antenna)) []"
0.001,-108.169296849133
0.0084975,-89.5834899745003
0.015995,-84.0896741463495
0.0234925,-80.7508478095323
0.03099,-78.3451023794491
0.0384875,-76.4632691493373
0.045985,-74.9174965521568
0.0534825,-73.6057714482387
0.06098,-72.466470013619
0.0684775,-71.4595013412649
0.075975,-70.5573138429712
0.0834725,-69.7401562293817
0.09097,-68.993385257541
0.0984675,-68.3058432982181
0.105965,-67.6688328858625
0.1134625,-67.0754427993259
0.12096,-66.5200900697475
0.1284575,-65.9982000051154
0.135955,-65.5059771291568
0.1434525,-65.0402376814277
0.15095,-64.598284838395
0.1584475,-64.1778142124532
0.165945,-63.7768412190228
0.1734425,-63.3936445069151
0.18094,-63.026721368926
0.1884375,-62.6747522113892
0.195935,-62.3365719601113
0.2034325,-62.0111468385926
0.21093,-61.6975553510508
0.2184275,-61.394972588445
0.225925,-61.1026571841758
0.2334225,-60.8199404001263
0.24092,-60.5462169387118
0.2484175,-60.2809371634019
0.255915,-60.0236004763088
0.2634125,-59.7737496522795
0.27091,-59.5309659683547
0.2784075,-59.2948649982632
0.285905,-59.0650929658739
0.2934025,-58.8413235707619
0.3009,-58.6232552143846
0.3083975,-58.4106085676927
0.315895,-58.2031244309514
0.3233925,-58.0005618446331
0.33089,-57.8026964168459
0.3383875,-57.6093188381805
0.345885,-57.4202335593252
0.3533825,-57.2352576105008
0.36088,-57.0542195448471
0.3683775,-56.8769584904643
0.375875,-56.7033232979712
0.3833725,-56.5331717722587
0.39087,-56.3663699786533
0.3983675,-56.202791615005
0.405865,-56.0423174423237
0.4133625,-55.8848347675332
0.42086,-55.73023697272
0.4283575,-55.5784230859507
0.435855,-55.4292973893293
0.4433525,-55.282769060483
0.45085,-55.138751844113
0.4583475,-54.997163750634
0.465845,-54.8579267792649
0.4733425,-54.7209666632293
0.48084,-54.5862126349784
0.4883375,-54.4535972095799
0.495835,-54.3230559846104
0.5033325,-54.194527455065
0.51083,-54.0679528419527
0.5183275,-53.9432759333804
0.525825,-53.8204429370489
0.5333225,-53.699402343192
0.54082,-53.5801047970841
0.5483175,-53.462502980325
0.555815,-53.3465515001867
0.5633125,-53.2322067863752
0.57081,-53.1194269946171
0.5783075,-53.0081719165384
0.585805,-52.898402895348
0.5933025,-52.7900827468832
0.6008,-52.6831756856137
0.6082975,-52.5776472552341
