# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497499999999999845e-03,2.551964708300894711e-08,5.264002553962205040e-05
1.599499999999999880e-02,9.041827722692863166e-08,9.908479435797313260e-05
2.349249999999999949e-02,1.950486014773193417e-07,1.455286625508529872e-04
3.099000000000000019e-02,3.394089879169866699e-07,1.919712080172890042e-04
3.848750000000000088e-02,5.234972000698482989e-07,2.384120087226410925e-04
4.598499999999999810e-02,7.473103898569151957e-07,2.848506427307884712e-04
5.348250000000000226e-02,1.010845104838124546e-06,3.312866882233654218e-04
6.097999999999999948e-02,1.314097296386766235e-06,3.777197235191364689e-04
6.847749999999999670e-02,1.657062328148544291e-06,4.241493270926297498e-04
7.597500000000000087e-02,2.039734985245563208e-06,4.705750775914061055e-04
8.347250000000000503e-02,2.462109484440391696e-06,5.169965538517886858e-04
9.096999999999999531e-02,2.924179485461571872e-06,5.634133349126654389e-04
9.846749999999999947e-02,3.425938103402541329e-06,6.098250000272064644e-04
1.059650000000000036e-01,3.967381387265009341e-06,6.562311292328186323e-04
1.134624999999999939e-01,4.548498147702636594e-06,7.026313026175075522e-04
1.209599999999999981e-01,5.169278514856266863e-06,7.490251004723368902e-04
1.284575000000000022e-01,5.829712947693006694e-06,7.954121035282999807e-04
1.359549999999999925e-01,6.529791294563480737e-06,8.417918929028267005e-04
1.434525000000000106e-01,7.269502793151048731e-06,8.881640501233538073e-04
1.509500000000000008e-01,8.048836070379750810e-06,9.345281571508409595e-04
1.584474999999999911e-01,8.867779142405641510e-06,9.808837964032013010e-04
1.659450000000000092e-01,9.726319414501868573e-06,1.027230550778640214e-03
1.734424999999999994e-01,1.062444368103270122e-05,1.073568003678944957e-03
1.809399999999999897e-01,1.156213812536212769e-05,1.119895739032657645e-03
1.884375000000000078e-01,1.253938831980483402e-05,1.166213341318184365e-03
1.959349999999999981e-01,1.355617922555328471e-05,1.212520395586822765e-03
2.034324999999999883e-01,1.461249519258314300e-05,1.258816487485635901e-03
2.109300000000000064e-01,1.570831995964351983e-05,1.305101203280326734e-03
2.184274999999999967e-01,1.684363665411135196e-05,1.351374129877869115e-03
2.259249999999999869e-01,1.801842779196724455e-05,1.397634854849192547e-03
2.334225000000000050e-01,1.923267527776160342e-05,1.443882966451658350e-03
2.409199999999999953e-01,2.048636040446757489e-05,1.490118053651409398e-03
2.484175000000000133e-01,2.177946385345181296e-05,1.536339706145682356e-03
2.559150000000000036e-01,2.311196569442701835e-05,1.582547514384929086e-03
2.634124999999999939e-01,2.448384538538110627e-05,1.628741069594816411e-03
2.709099999999999842e-01,2.589508177251392284e-05,1.674919963798204847e-03
2.784074999999999744e-01,2.734565309014506420e-05,1.721083789836772796e-03
2.859050000000000202e-01,2.883553696074943836e-05,1.767232141392817684e-03
2.934025000000000105e-01,3.036471039481054214e-05,1.813364613010566605e-03
3.009000000000000008e-01,3.193314979085615853e-05,1.859480800117707276e-03
3.083974999999999911e-01,3.354083093535439186e-05,1.905580299046414836e-03
3.158949999999999814e-01,3.518772900277100516e-05,1.951662707054572284e-03
3.233925000000000272e-01,3.687381855540589537e-05,1.997727622346587815e-03
3.308900000000000174e-01,3.859907354353887447e-05,2.043774644094162058e-03
3.383875000000000077e-01,4.036346730529267378e-05,2.089803372456860812e-03
3.458849999999999980e-01,4.216697256668423349e-05,2.135813408602629023e-03
3.533824999999999883e-01,4.400956144160911049e-05,2.181804354728024160e-03
3.608799999999999786e-01,4.589120543190124498e-05,2.227775814078284799e-03
3.683775000000000244e-01,4.781187542730983312e-05,2.273727390967340226e-03
3.758750000000000147e-01,4.977154170554750625e-05,2.319658690797493476e-03
3.833725000000000049e-01,5.177017393238971156e-05,2.365569320079136031e-03
3.908699999999999952e-01,5.380774116166412758e-05,2.411458886450049219e-03
3.983674999999999855e-01,5.588421183537400574e-05,2.457326998694700417e-03
4.058649999999999758e-01,5.799955378381835416e-05,2.503173266763284669e-03
4.133625000000000216e-01,6.015373422556829526e-05,2.548997301790519986e-03
4.208600000000000119e-01,6.234671976779216382e-05,2.594798716114531112e-03
4.283575000000000021e-01,6.457847640620622317e-05,2.640577123295077561e-03
