# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497499999999999845e-03,8.438136593085480516e-08,5.304545080686603721e-05
1.599499999999999880e-02,2.989719538384808529e-07,9.984798213530242828e-05
2.349249999999999949e-02,6.449375683154605557e-07,1.466497010011649912e-04
3.099000000000000019e-02,1.122273410354877091e-06,1.934502265954066494e-04
3.848750000000000088e-02,1.730972880141875384e-06,2.402491781739680076e-04
4.598499999999999810e-02,2.471027591136600118e-06,2.870461750506933985e-04
5.348250000000000226e-02,3.342427388181799741e-06,3.338408366084084878e-04
6.097999999999999948e-02,4.345160370604157630e-06,3.806327823087398668e-04
6.847749999999999670e-02,5.479212919676072000e-06,4.274216316993558959e-04
7.597500000000000087e-02,6.744569730154435146e-06,4.742070044183758571e-04
8.347250000000000503e-02,8.141213845803453326e-06,5.209885201955593778e-04
9.096999999999999531e-02,9.669126698776355207e-06,5.677657988500711857e-04
9.846749999999999947e-02,1.132828815281567053e-05,6.145384602843270141e-04
1.059650000000000036e-01,1.311868284124166038e-05,6.613061291177750253e-04
1.134624999999999939e-01,1.504028018281558444e-05,7.080684254579634133e-04
1.209599999999999981e-01,1.709305209413633075e-05,7.548249699010447546e-04
1.284575000000000022e-01,1.927697053469441655e-05,8.015753842561763659e-04
1.359549999999999925e-01,2.159200567223708997e-05,8.483192906944323321e-04
1.434525000000000106e-01,2.403812588314444310e-05,8.950563117710677065e-04
1.509500000000000008e-01,2.661529775283300465e-05,9.417860704476905534e-04
1.584474999999999911e-01,2.932348607617561747e-05,9.885081901144861412e-04
1.659450000000000092e-01,3.216265385798927878e-05,1.035222294612315151e-03
1.734424999999999994e-01,3.513276231350439638e-05,1.081928008254785974e-03
1.809399999999999897e-01,3.823377086888730297e-05,1.128624955850321149e-03
1.884375000000000078e-01,4.146563716182885594e-05,1.175312762724185865e-03
1.959349999999999981e-01,4.482831704211604233e-05,1.221991054740362162e-03
2.034324999999999883e-01,4.832176457227190203e-05,1.268659458323535046e-03
2.109300000000000064e-01,5.194593202824957304e-05,1.315317600480914650e-03
2.184274999999999967e-01,5.570076990010516089e-05,1.361965108823992706e-03
2.259249999999999869e-01,5.958622689279060891e-05,1.408601611590388570e-03
2.334225000000000050e-01,6.360224992692612453e-05,1.455226737665428743e-03
2.409199999999999953e-01,6.774878413966097478e-05,1.501840116603842630e-03
2.484175000000000133e-01,7.202577288554987405e-05,1.548441378651304332e-03
2.559150000000000036e-01,7.643315773750135604e-05,1.595030154765943436e-03
2.634124999999999939e-01,8.097087848776500084e-05,1.641606076639794002e-03
2.709099999999999842e-01,8.563887314895967870e-05,1.688168776720130795e-03
2.784074999999999744e-01,9.043707795518924827e-05,1.734717888230791639e-03
2.859050000000000202e-01,9.536542736316255104e-05,1.781253045193442741e-03
2.934025000000000105e-01,1.004238540534383058e-04,1.827773882448670978e-03
3.009000000000000008e-01,1.056122889316672654e-04,1.874280035677074012e-03
3.083974999999999911e-01,1.109306611299431600e-04,1.920771141420324606e-03
3.158949999999999814e-01,1.163788980081466334e-04,1.967246837102043684e-03
3.233925000000000272e-01,1.219569251554989043e-04,2.013706761048626552e-03
3.308900000000000174e-01,1.276646663919676385e-04,2.060150552510070423e-03
3.383875000000000077e-01,1.335020437699698502e-04,2.106577851680533058e-03
3.458849999999999980e-01,1.394689775760236982e-04,2.152988299719028019e-03
3.533824999999999883e-01,1.455653863324148231e-04,2.199381538769912183e-03
3.608799999999999786e-01,1.517911867991098419e-04,2.245757211983152087e-03
3.683775000000000244e-01,1.581462939756730554e-04,2.292114963534845271e-03
3.758750000000000147e-01,1.646306211031200810e-04,2.338454438647243321e-03
3.833725000000000049e-01,1.712440796661409553e-04,2.384775283608954900e-03
3.908699999999999952e-01,1.779865793951472433e-04,2.431077145795020825e-03
3.983674999999999855e-01,1.848580282685920141e-04,2.477359673686624873e-03
4.058649999999999758e-01,1.918583325152431690e-04,2.523622516891147177e-03
4.133625000000000216e-01,1.989873966166505709e-04,2.569865326161678998e-03
4.208600000000000119e-01,2.062451233096552399e-04,2.616087753416720518e-03
4.283575000000000021e-01,2.136314135890242903e-04,2.662289451759636619e-03
4.358549999999999924e-01,2.211461667101748260e-04,2.708470075497960462e-03
4.433524999999999827e-01,2.287892801919673056e-04,2.754629280162818918e-03
4.508499999999999730e-01,2.365606498197524220e-04,2.800766722527829340e-03
4.583475000000000188e-01,2.444601696482490085e-04,2.846882060628354999e-03
4.658450000000000091e-01,2.524877320048367606e-04,2.892974953780245301e-03
4.733424999999999994e-01,2.606432274927954532e-04,2.939045062598685722e-03
4.808399999999999896e-01,2.689265449946278298e-04,2.985092049016816167e-03
4.883374999999999799e-01,2.773375716756660116e-04,3.031115576304319829e-03
4.958350000000000257e-01,2.858761929875783497e-04,3.077115309085711944e-03
5.033324999999999605e-01,2.945422926722771604e-04,3.123090913358648937e-03
5.108300000000000063e-01,3.033357527656140116e-04,3.169042056512147345e-03
5.183275000000000521e-01,3.122564536015476669e-04,3.214968407344405508e-03
5.258249999999999869e-01,3.213042738161931474e-04,3.260869636080865937e-03
5.333225000000000326e-01,3.304790903521192917e-04,3.306745414391693959e-03
5.408199999999999674e-01,3.397807784627427568e-04,3.352595415409533475e-03
5.483175000000000132e-01,3.492092117169503509e-04,3.398419313746979097e-03
