"ez_offset [mm]","output_power/(4.2391E+04*1.0137) []","sqrt(output_power/(4.2391E+04*1.0137)*50)/0.012 []"
0,6.60394338582452E-09,0.0478856544056332
0.2,2.60594509509002E-06,0.951231857596378
0.4,1.05708909612261E-05,1.91584139490349
0.6,2.38114656740464E-05,2.87539041274582
0.8,4.27099726080932E-05,3.8509546348967
1,6.72521842953553E-05,4.83233410272217
1.2,9.75187741804409E-05,5.81899351085046
1.4,0.000134581764659225,6.8359183286201
1.6,0.000178172727847865,7.86546441748551
1.8,0.00022862897514067,8.90982944913833
2,0.000286919171579181,9.98121797947937
2.2,0.00035419108994645,11.0897708426512
2.4,0.0004311125435809,12.234862296325
2.6,0.000516112944110812,13.3867801719386
2.8,0.000608836005900732,14.5396489275964
3,0.00072457661962605,15.8615605801202
3.2,0.000845031672585911,17.1293250072337
3.4,0.000981608531162366,18.4617522338073
3.6,0.00113498569298304,19.8517569627477
3.8,0.0013023731712572,21.2652981800521
4,0.00149396189120282,22.7757934610137
4.2,0.00170335354354006,24.3195847542279
4.4,0.00193507481728724,25.9210527993123
4.6,0.00219852444627277,27.6292696943787
4.8,0.00249678832953522,29.4438515177571
5,0.00281693252102965,31.2746154221273
5.2,0.00318365052763224,33.248070785888
5.4,0.00358255404352831,35.2695672815121
5.6,0.00400919612017025,37.3106149261872
5.8,0.00451939212548869,39.6135504203523
6,0.00505977649814998,41.9149954030227
6.2,0.00566075024701136,44.3343916188356
6.4,0.00633947042815819,46.9170012871363
6.6,0.00706506785967274,49.5292697542208
6.8,0.00789183833448707,52.3471264151063
7,0.00883604611607127,55.3901757361385
7.2,0.00982399012742563,58.4046888796944
7.4,0.0109654896759378,61.7046326707642
7.6,0.0121943643707955,65.070379554872
7.8,0.0135832508999865,68.6760989172747
8,0.0150938668811406,72.3942401051082
8.2,0.0167867353747735,76.3461037688581
8.4,0.0186178138766741,80.4022307350891
8.6,0.0207093558696264,84.7982816208117
8.8,0.0228194581370415,89.0136111179101
9,0.0254525452430234,94.0089853178632
9.2,0.0281276680983714,98.8258641401411
9.4,0.0311330174108779,103.971512876788
9.6,0.034492406175487,109.437333310183
9.8,0.0380264348458658,114.907019848093
10,0.0419778244665408,120.729588317557
10.2,0.046391567232589,126.918017108964
10.4,0.0510105413634927,133.086413765608
10.6,0.0560954704827402,139.562150734424
10.8,0.0622139208249463,146.976378517078
11,0.0681607835854705,153.840627744933
11.2,0.0749995913404703,161.373866443723
11.4,0.0817973074898601,168.528463110608
11.6,0.089663445467725,176.44585794913
11.8,0.0982437594147734,184.69546952609
12,0.107804272523008,193.473613370116
12.2,0.117277237550532,201.79510162137
12.4,0.127386346765687,210.312554082614
12.6,0.138693999175092,219.448487355148
12.8,0.150353605698031,228.486570917405
13,0.162212248862622,237.326141673739
13.2,0.175197875000128,246.642647338524
13.4,0.188937240448541,256.131232943342
13.6,0.202373789252285,265.082396291625
13.8,0.217534342292655,274.832235628402
14,0.231951303328322,283.79331737904
14.2,0.247068680604236,292.895435814414
14.4,0.262899511760394,302.133335953815
14.6,0.278525326476195,310.982608523747
14.8,0.293796119850527,319.394022509449
15,0.309687983813582,327.918511120174

