# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497500000000000000e-03,3.178586348347330997e-05,6.678314634024263476e-09
1.599499999999999814e-02,5.983102944816844217e-05,2.365936832570927991e-08
2.349250000000000000e-02,8.787657602434474256e-05,5.103771158239744192e-08
3.099000000000000000e-02,1.159223688268227402e-04,8.881301982340631847e-08
3.848750000000000000e-02,1.439685054110258439e-04,1.369856655913970627e-07
4.598500000000000000e-02,1.720150674175441210e-04,1.955560564096807187e-07
5.348250000000000000e-02,2.000621315137948188e-04,2.645246475774828283e-07
6.098000000000000000e-02,2.281099223712717487e-04,3.438921545124007455e-07
6.847750000000000000e-02,2.561583939520591081e-04,4.336589623348704788e-07
7.597500000000000000e-02,2.842075700244421697e-04,5.338254925091947185e-07
8.347250000000000000e-02,3.122575072082471657e-04,6.443921662262494724e-07
9.097000000000000000e-02,3.403082557075966393e-04,7.653593185302275174e-07
9.846750000000000000e-02,3.683598586967503849e-04,8.967271599843157868e-07
1.059650000000000000e-01,3.963975311148250726e-04,1.038458968442706546e-06
1.134625000000000000e-01,4.244324937984626008e-04,1.190578573604612087e-06
1.209600000000000000e-01,4.524686495760013106e-04,1.353096000329583810e-06
1.284575000000000000e-01,4.805060767612076979e-04,1.526012360776924694e-06
1.359550000000000000e-01,5.085448536811534252e-04,1.709328838170101462e-06
1.434525000000000000e-01,5.365850586608547244e-04,1.903046686787933533e-06
1.509500000000000000e-01,5.646267700118517367e-04,2.107167231959095567e-06
1.584475000000000000e-01,5.926700660234844251e-04,2.321691870048079377e-06
1.659450000000000000e-01,6.207150249559631678e-04,2.546622068438354274e-06
1.734425000000000000e-01,6.487617250346516514e-04,2.781959365532532668e-06
1.809400000000000000e-01,6.768102444454041512e-04,3.027705370705724596e-06
1.884375000000000000e-01,7.048606613303870158e-04,3.283861764339291983e-06
1.959350000000000000e-01,7.329130537845821155e-04,3.550430297754689867e-06
2.034325000000000000e-01,7.609674998524961799e-04,3.827412793242697927e-06
2.109300000000000000e-01,7.890240775253097799e-04,4.114811144019593307e-06
2.184275000000000000e-01,8.170828647381427534e-04,4.412627314208773807e-06
2.259250000000000000e-01,8.451439393676104129e-04,4.720863338843950357e-06
2.334225000000000000e-01,8.732073792293664188e-04,5.039521323846620594e-06
2.409200000000000000e-01,9.012732620759711290e-04,5.368603445974902993e-06
2.484175000000000000e-01,9.293416655947359887e-04,5.708111952860148172e-06
2.559150000000000000e-01,9.574126674057268629e-04,6.058049162939077997e-06
2.634125000000000000e-01,9.854863450597360370e-04,6.418417465473867043e-06
2.709100000000000000e-01,1.013562776036521906e-03,6.789219320499928094e-06
2.784075000000000000e-01,1.041642037742966263e-03,7.170457258809457678e-06
2.859050000000000000e-01,1.069724207511324292e-03,7.562133881967358599e-06
2.934025000000000000e-01,1.097809362597621137e-03,7.964251862234524154e-06
3.009000000000000000e-01,1.125897580179961634e-03,8.376813942593305034e-06
3.083975000000000000e-01,1.153988937356988358e-03,8.799822936704542725e-06
3.158950000000000000e-01,1.182083511146507721e-03,9.233281728887016257e-06
3.233925000000000000e-01,1.210181378483821601e-03,9.677193274082423319e-06
3.308900000000000000e-01,1.238282616220537759e-03,1.013156059787271055e-05
3.383875000000000000e-01,1.266387301123168612e-03,1.059638679640490446e-05
3.458850000000000000e-01,1.294495509871831712e-03,1.107167503643273123e-05
3.533825000000000000e-01,1.322607319059022858e-03,1.155742855520148798e-05
3.608800000000000000e-01,1.350722805188491566e-03,1.205365066053551758e-05
3.683775000000000000e-01,1.378842044674040640e-03,1.256034473070708118e-05
3.758750000000000000e-01,1.406965113838538244e-03,1.307751421450633326e-05
3.833725000000000000e-01,1.435092088912910896e-03,1.360516263114478531e-05
