"Freq [GHz]","sqrt((1-mag(S(antenna,antenna))**2)/cos(atan(im(S(antenna,antenna))/(1+re(S(antenna,antenna))))-atan((-im(S(antenna,antenna))/(1-re(S(antenna,antenna))))))/(re(Zo(antenna))*(sqrt((1+re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2))/(sqrt((1-re(S(antenna,antenna)))**2+im(S(antenna,antenna))**2)))) []"
0.001,1.22061994321915E-02
0.0084975,0000.103131136805243
0.015995,0000.19411430747153
0.0234925,0000.285100443511105
0.03099,0000.376087653137841
0.0384875,0000.467075690419451
0.045985,0000.558064555141885
0.0534825,0000.649054320277045
0.06098,0000.740045084125619
0.0684775,0000.831036964181113
0.075975,0000.922030084863423
0.0834725,0001.01302457001667
0.09097,0001.10402054879929
0.0984675,0001.19501815048587
0.105965,0001.28601739596787
0.1134625,0001.37701845023531
0.12096,0001.46802146132086
0.1284575,0001.55902655816381
0.135955,0001.65003386999752
0.1434525,0001.74104352615217
0.15095,0001.83205565587804
0.1584475,0001.92307038730896
0.165945,0002.01408784444428
0.1734425,0002.10510810664276
0.18094,0002.19613157603853
0.1884375,0002.28715798941604
0.195935,0002.37818767763961
0.2034325,0002.46922075078244
0.21093,0002.56025733509452
0.2184275,0002.65129756050216
0.225925,0002.74234155507255
0.2334225,0002.83338944827338
0.24092,0002.92444137043499
0.2484175,0003.01549745129253
0.255915,0003.1065578191579
0.2634125,0003.19762260542099
0.27091,0003.28869193880991
0.2784075,0003.3797659493731
0.285905,0003.47084476620358
0.2934025,0003.56192852020928
0.3009,0003.65301734073875
0.3083975,0003.74411135728018
0.315895,0003.83521070019531
0.3233925,0003.92631549946861
0.33089,0004.01742588468188
0.3383875,0004.10854198617222
0.345885,0004.19966393428491
0.3533825,0004.29079185829852
0.36088,0004.38192588898782
0.3683775,0004.47306615595941
0.375875,0004.56421278961522
0.3833725,0004.65536592029237
0.39087,0004.74652567825584
0.3983675,0004.83769219375334
0.405865,0004.92886559710559
0.4133625,0005.02004601893386
0.42086,0005.11123358905117
0.4283575,0005.20242843875499
0.435855,0005.29363069758223
0.4433525,0005.3848404971062
0.45085,0005.47605796708531
0.4583475,0005.56728323852796
0.465845,0005.65851644249488
0.4733425,0005.7497577090693
0.48084,0005.84100716934101
0.4883375,0005.93226495411612
0.495835,0006.02353119450057
0.5033325,0006.11480602120626
0.51083,0006.20608956489673
0.5183275,0006.29738195750811
0.525825,0006.38868332926652
0.5333225,0006.47999381168647
0.54082,0006.57131353622311
0.5483175,0006.66264263372641
0.555815,0006.75398123562661
0.5633125,0006.84532947340672
0.57081,0006.93668747830583
0.5783075,0007.02805538204163
0.585805,0007.11943331600616
0.5933025,0007.21082141205419
0.6008,0007.30221980139082
0.6082975,0007.39362861630564
0.615795,0007.48504798812253
0.6232925,0007.57647804905308
0.63079,0007.66791893075053
0.6382875,0007.75937076540453
0.645785,0007.8508336850705
0.6532825,0007.94230782174862
0.66078,0008.03379330776661
0.6682775,0008.12529027549983
0.675775,0008.21679885685277
0.6832725,0008.30831918459497
0.69077,0008.39985139102187
0.6982675,0008.49139560871623
0.705765,0008.58295197046809
0.7132625,0008.67452060877287
0.72076,0008.76610165648146
0.7282575,0008.85769524620866
0.735755,0008.94930151128362
0.7432525,0009.04092058440009
0.75075,0009.13255259875427
0.7582475,0009.22419768746204
0.765745,0009.31585598376994
0.7732425,0009.40752762100076
0.78074,0009.49921273247956
0.7882375,0009.59091145164272
0.795735,0009.68262391230711
0.8032325,0009.77435024793812
0.81073,0009.86609059212739
0.8182275,0009.95784507891676
0.825725,0010.0496138420255
0.8332225,0010.1413970156873
0.84072,0010.2331947336472
0.8482175,0010.3250071303003
0.855715,0010.416834339836
0.8632125,0010.5086764965871
0.87071,0010.6005337349895
0.8782075,0010.6924061895546
0.885705,0010.7842939950478
0.8932025,0010.8761972860316
0.9007,0010.9681161972237
0.9081975,0011.0600508637099
0.915695,0011.1520014203533
0.9231925,0011.2439680026001
0.93069,0011.3359507451593
0.9381875,0011.4279497837262
0.945685,0011.5199652533397
0.9531825,0011.6119972898285
0.96068,0011.7040460285197
0.9681775,0011.7961116054381
0.975675,0011.8881941561324
0.9831725,0011.9802938165489
0.99067,0012.0724107228915
0.9981675,0012.1645450110601
1.005665,0012.256696817385
1.0131625,0012.3488662781928
1.02066,0012.4410535299782
1.0281575,0012.5332587093525
1.035655,0012.6254819528386
1.0431525,0012.717723397319
1.05065,0012.8099831796508
1.0581475,0012.902261436943
1.065645,0012.9945583061603
1.0731425,0013.0868739247902
1.08064,0013.1792084300032
1.0881375,0013.2715619594164
1.095635,0013.3639346502866
1.1031325,0013.4563266407905
1.11063,0013.5487380685967
1.1181275,0013.6411690715711
1.125625,0013.733619788011
1.1331225,0013.826090355886
1.14062,0013.9185809136863
1.1481175,0014.011091599822
1.155615,0014.103622552851
1.1631125,0014.1961739115182
1.17061,0014.288745814681
1.1781075,0014.3813384012719
1.185605,0014.4739518104722
1.1931025,0014.5665861816015
1.2006,0014.6592416537266
1.2080975,0014.7519183665653
1.215595,0014.8446164598285
1.2230925,0014.9373360730912
1.23059,0015.0300773463415
1.2380875,0015.1228404197095
1.245585,0015.2156254333288
1.2530825,0015.3084325275073
1.26058,0015.4012618426022
1.2680775,0015.4941135195419
1.275575,0015.586987698752
1.2830725,0015.6798845214051
1.29057,0015.7728041282583
1.2980675,0015.8657466607172
1.305565,0015.9587122600969
1.3130625,0016.0517010677864
1.32056,0016.1447132255574
1.3280575,0016.2377488750213
1.335555,0016.3308081582685
1.3430525,0016.4238912174096
1.35055,0016.5169981946023
1.3580475,0016.6101292322729
1.365545,0016.7032844729819
1.3730425,0016.7964640594927
1.38054,0016.8896681344729
1.3880375,0016.9828968413582
1.395535,0017.0761503228886
1.4030325,0017.1694287227894
1.41053,0017.2627321843693
1.4180275,0017.3560608514647
1.425525,0017.4494148678337
1.4330225,0017.542794377531
1.44052,0017.636199524573
1.4480175,0017.7296304535883
1.455515,0017.8230873090853
1.4630125,0017.9165702355555
1.47051,0018.0100793780473
1.4780075,0018.1036148815021
1.485505,0018.1971768912257
1.4930025,0018.2907655524991
1.5005,0018.3843810110769
1.5079975,0018.4780234125347
1.515495,0018.5716929030349
1.5229925,0018.6653896284256
1.53049,0018.7591137352295
1.5379875,0018.8528653697863
1.545485,0018.9466446788785
1.5529825,0019.0404518093489
1.56048,0019.1342869082189
1.5679775,0019.2281501227382
1.575475,0019.3220416003055
1.5829725,0019.4159614886362
1.59047,0019.5099099354088
