# Frequency (GHz),Output Power (W)
8.497500000000000000e-03,3.789898039613826769e-04
1.599499999999999814e-02,1.342810512988963620e-03
2.349250000000000000e-02,2.896711034756526602e-03
3.099000000000000000e-02,5.040697585529170672e-03
3.848750000000000000e-02,7.774776789141643238e-03
4.598500000000000000e-02,1.109895734793648493e-02
5.348250000000000000e-02,1.501325002924196338e-02
6.098000000000000000e-02,1.951766775567523219e-02
6.847750000000000000e-02,2.461222572020469688e-02
7.597500000000000000e-02,3.029694151989089732e-02
8.347250000000000000e-02,3.657183530715196930e-02
9.097000000000000000e-02,4.343692995815271904e-02
9.846750000000000000e-02,5.089225125805919578e-02
1.059650000000000000e-01,5.893781029293494997e-02
1.134625000000000000e-01,6.757363650891251878e-02
1.209600000000000000e-01,7.679976143506745471e-02
1.284575000000000000e-01,8.661621534789572647e-02
1.359550000000000000e-01,9.702303044812661650e-02
1.434525000000000000e-01,1.080202408584315830e-01
1.509500000000000000e-01,1.196078826210308093e-01
1.584475000000000000e-01,1.317859936951501864e-01
1.659450000000000000e-01,1.445546139543800122e-01
1.734425000000000000e-01,1.579137851838760907e-01
1.809400000000000000e-01,1.718635510774822549e-01
1.884375000000000000e-01,1.864039572347001860e-01
1.959350000000000000e-01,2.015350511575617444e-01
2.034325000000000000e-01,2.172568822473870564e-01
2.109300000000000000e-01,2.335695018014209736e-01
2.184275000000000000e-01,2.504729630093708781e-01
2.259250000000000000e-01,2.679673209498270155e-01
2.334225000000000000e-01,2.860526325865893898e-01
2.409200000000000000e-01,3.047289567649038132e-01
2.484175000000000000e-01,3.239963542075398525e-01
2.559150000000000000e-01,3.438548875108709199e-01
2.634125000000000000e-01,3.643046211407788151e-01
2.709100000000000000e-01,3.853456214284943704e-01
2.784075000000000000e-01,4.069779565663727151e-01
2.859050000000000000e-01,4.292016966035278790e-01
2.934025000000000000e-01,4.520169134414734851e-01
3.009000000000000000e-01,4.754236808295882110e-01
3.083975000000000000e-01,4.994220743605905687e-01
3.158950000000000000e-01,5.240121714659013462e-01
3.233925000000000000e-01,5.491940514108887879e-01
3.308900000000000000e-01,5.749677952902021315e-01
3.383875000000000000e-01,6.013334860228531522e-01
3.458850000000000000e-01,6.282912083473911455e-01
3.533825000000000000e-01,6.558410488169464080e-01
3.608800000000000000e-01,6.839830957942669420e-01
3.683775000000000000e-01,7.127174394466330811e-01
3.758750000000000000e-01,7.420441717408667728e-01
3.833725000000000000e-01,7.719633864381321720e-01
3.908700000000000000e-01,8.024751790888567258e-01
3.983675000000000000e-01,8.335796470275699898e-01
4.058650000000000000e-01,8.652768893676003553e-01
4.133625000000000000e-01,8.975670069959643696e-01
4.208600000000000000e-01,9.304501025680972385e-01
4.283575000000000000e-01,9.639262805025595055e-01
4.358550000000000000e-01,9.979956469758121289e-01
4.433525000000000000e-01,1.032658309916957149e-00
4.508500000000000000e-01,1.067914379002429649e-00
4.583475000000000000e-01,1.103763965650750811e-00
4.658450000000000000e-01,1.140207183017356568e-00
4.733425000000000000e-01,1.177244145989138685e-00
4.808400000000000000e-01,1.214874971179513762e-00
4.883375000000000000e-01,1.253099776922983373e-00
4.958350000000000000e-01,1.291918683270012270e-00
5.033324999999999404e-01,1.331331811981966304e-00
5.108300000000000000e-01,1.371339286525922228e-00
5.183275000000000596e-01,1.411941232069569620e-00
5.258250000000000000e-01,1.453137775476302114e-00
