# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497499999999999845e-03,7.500660698797223310e-08,5.302675819512041961e-05
1.599499999999999880e-02,2.657552464855174114e-07,9.981280503553599461e-05
2.349249999999999949e-02,5.732824884971502997e-07,1.465980547490815245e-04
3.099000000000000019e-02,9.975837931427840905e-07,1.933821337153786670e-04
3.848750000000000088e-02,1.538652970514253665e-06,2.401646683395578907e-04
4.598499999999999810e-02,2.196482156959106971e-06,2.869452850466182379e-04
5.348250000000000226e-02,2.971061828502486458e-06,3.337236102870434653e-04
6.097999999999999948e-02,3.862380820779149983e-06,3.804992705389562179e-04
6.847749999999999670e-02,4.870426353051407465e-06,4.272718923075916487e-04
7.597500000000000087e-02,5.995184055862316041e-06,4.740411021221749982e-04
8.347250000000000503e-02,7.236638002191555534e-06,5.208065265298797691e-04
9.096999999999999531e-02,8.594770742028477484e-06,5.675677920866751625e-04
9.846749999999999947e-02,1.006956334027165756e-05,6.143245253446726799e-04
1.059650000000000036e-01,1.166120347337900198e-05,6.610763577761247234e-04
1.134624999999999939e-01,1.336949409643706417e-05,7.078229171473441684e-04
1.209599999999999981e-01,1.519435563620435957e-05,7.545638309048793846e-04
1.284575000000000022e-01,1.713576290946266923e-05,8.012987275739622169e-04
1.359549999999999925e-01,1.919368923504214471e-05,8.480272359614507947e-04
1.434525000000000106e-01,2.136810633811700525e-05,8.947489851748930594e-04
1.509500000000000008e-01,2.365898428545227286e-05,9.414636046415859535e-04
1.584474999999999911e-01,2.606629144378066641e-05,9.881707241273984723e-04
1.659450000000000092e-01,2.858999445496321820e-05,1.034869973755486727e-03
1.734424999999999994e-01,3.123005822322027597e-05,1.081560984024824371e-03
1.809399999999999897e-01,3.398644591051055194e-05,1.128243385828527892e-03
1.884375000000000078e-01,3.685911893753408434e-05,1.174916810472020467e-03
1.959349999999999981e-01,3.984803698836281410e-05,1.221580889691063765e-03
2.034324999999999883e-01,4.295315801723264724e-05,1.268235255669663110e-03
2.109300000000000064e-01,4.617443825667720737e-05,1.314879541057828449e-03
2.184274999999999967e-01,4.951183222633644300e-05,1.361513378989244244e-03
2.259249999999999869e-01,5.296529274194692005e-05,1.408136403098763289e-03
2.334225000000000050e-01,5.653477092429594266e-05,1.454748247539968840e-03
2.409199999999999953e-01,6.022021620804656584e-05,1.501348547002450502e-03
2.484175000000000133e-01,6.402157635018174825e-05,1.547936936729101161e-03
2.559150000000000036e-01,6.793879743819812881e-05,1.594513052533347557e-03
2.634124999999999939e-01,7.197182389792501492e-05,1.641076530816310388e-03
2.709099999999999842e-01,7.612059850103835754e-05,1.687627008583704197e-03
2.784074999999999744e-01,8.038506237226065998e-05,1.734164123462964956e-03
2.859050000000000202e-01,8.476515499625112337e-05,1.780687513720046735e-03
2.934025000000000105e-01,8.926081422437291137e-05,1.827196818276227274e-03
3.009000000000000008e-01,9.387197628108128291e-05,1.873691676724889696e-03
3.083974999999999911e-01,9.859857577029048812e-05,1.920171729348155035e-03
3.158949999999999814e-01,1.034405456814786669e-04,1.966636617133415022e-03
3.233925000000000272e-01,1.083978173957829351e-04,2.013085981789905846e-03
3.308900000000000174e-01,1.134703206918227976e-04,2.059519465765046863e-03
3.383875000000000077e-01,1.186579837516635848e-04,2.105936712260802948e-03
3.458849999999999980e-01,1.239607331666215697e-04,2.152337365249966817e-03
3.533824999999999883e-01,1.293784939429350634e-04,2.198721069492182243e-03
3.608799999999999786e-01,1.349111895076238502e-04,2.245087470550185833e-03
3.683775000000000244e-01,1.405587417142315290e-04,2.291436214805691457e-03
3.758750000000000147e-01,1.463210708484831511e-04,2.337766949475223940e-03
3.833725000000000049e-01,1.521980956341962090e-04,2.384079322626081118e-03
3.908699999999999952e-01,1.581897332389673317e-04,2.430372983191889970e-03
3.983674999999999855e-01,1.642958992801356397e-04,2.476647580988225201e-03
4.058649999999999758e-01,1.705165078305103689e-04,2.522902766728250378e-03
4.133625000000000216e-01,1.768514714244569035e-04,2.569138192037974389e-03
4.208600000000000119e-01,1.833007010638113162e-04,2.615353509471574252e-03
4.283575000000000021e-01,1.898641062239485929e-04,2.661548372526724871e-03
4.358549999999999924e-01,1.965415948599072372e-04,2.707722435659521126e-03
4.433524999999999827e-01,2.033330734125524445e-04,2.753875354299717415e-03
4.508499999999999730e-01,2.102384468149009306e-04,2.800006784865278087e-03
4.583475000000000188e-01,2.172576184983824167e-04,2.846116384777498155e-03
4.658450000000000091e-01,2.243904903992869997e-04,2.892203812475445304e-03
4.733424999999999994e-01,2.316369629653233829e-04,2.938268727430569729e-03
4.808399999999999896e-01,2.389969351620731318e-04,2.984310790161170002e-03
4.883374999999999799e-01,2.464703044797599170e-04,3.030329662246757875e-03
4.958350000000000257e-01,2.540569669399378493e-04,3.076325006342122987e-03
5.033324999999999605e-01,2.617568171023761363e-04,3.122296486191580150e-03
