Frequency (GHz),kr_large,kr_small
0.001000,0.000126,0.000031
0.001016,0.000128,0.000032
0.001033,0.000130,0.000032
0.001049,0.000132,0.000033
0.001066,0.000134,0.000033
0.001084,0.000136,0.000034
0.001101,0.000138,0.000035
0.001119,0.000141,0.000035
0.001137,0.000143,0.000036
0.001155,0.000145,0.000036
0.001174,0.000148,0.000037
0.001193,0.000150,0.000037
0.001212,0.000152,0.000038
0.001232,0.000155,0.000039
0.001252,0.000157,0.000039
0.001272,0.000160,0.000040
0.001293,0.000162,0.000041
0.001314,0.000165,0.000041
0.001335,0.000168,0.000042
0.001356,0.000170,0.000043
0.001378,0.000173,0.000043
0.001401,0.000176,0.000044
0.001423,0.000179,0.000045
0.001446,0.000182,0.000045
0.001470,0.000185,0.000046
0.001493,0.000188,0.000047
0.001518,0.000191,0.000048
0.001542,0.000194,0.000048
0.001567,0.000197,0.000049
0.001592,0.000200,0.000050
0.001618,0.000203,0.000051
0.001644,0.000207,0.000052
0.001671,0.000210,0.000052
0.001698,0.000213,0.000053
0.001726,0.000217,0.000054
0.001753,0.000220,0.000055
0.001782,0.000224,0.000056
0.001811,0.000228,0.000057
0.001840,0.000231,0.000058
0.001870,0.000235,0.000059
0.001900,0.000239,0.000060
0.001931,0.000243,0.000061
0.001962,0.000247,0.000062
0.001994,0.000251,0.000063
0.002026,0.000255,0.000064
0.002059,0.000259,0.000065
0.002092,0.000263,0.000066
0.002126,0.000267,0.000067
0.002160,0.000271,0.000068
0.002195,0.000276,0.000069
0.002231,0.000280,0.000070
0.002267,0.000285,0.000071
0.002303,0.000289,0.000072
0.002341,0.000294,0.000074
0.002378,0.000299,0.000075
0.002417,0.000304,0.000076
0.002456,0.000309,0.000077
0.002496,0.000314,0.000078
0.002536,0.000319,0.000080
0.002577,0.000324,0.000081
0.002619,0.000329,0.000082
0.002661,0.000334,0.000084
0.002704,0.000340,0.000085
0.002748,0.000345,0.000086
0.002792,0.000351,0.000088
0.002837,0.000357,0.000089
0.002883,0.000362,0.000091
0.002930,0.000368,0.000092
0.002977,0.000374,0.000094
0.003026,0.000380,0.000095
0.003074,0.000386,0.000097
0.003124,0.000393,0.000098
0.003175,0.000399,0.000100
0.003226,0.000405,0.000101
0.003278,0.000412,0.000103
0.003331,0.000419,0.000105
0.003385,0.000425,0.000106
0.003440,0.000432,0.000108
0.003496,0.000439,0.000110
0.003552,0.000446,0.000112
0.003610,0.000454,0.000113
0.003668,0.000461,0.000115
0.003727,0.000468,0.000117
0.003788,0.000476,0.000119
0.003849,0.000484,0.000121
0.003911,0.000491,0.000123
0.003974,0.000499,0.000125
0.004039,0.000508,0.000127
0.004104,0.000516,0.000129
0.004170,0.000524,0.000131
0.004238,0.000533,0.000133
0.004306,0.000541,0.000135
0.004376,0.000550,0.000137
0.004447,0.000559,0.000140
0.004519,0.000568,0.000142
0.004592,0.000577,0.000144
0.004666,0.000586,0.000147
0.004741,0.000596,0.000149
0.004818,0.000605,0.000151
0.004896,0.000615,0.000154
0.004975,0.000625,0.000156
0.005056,0.000635,0.000159
