# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497500000000000000e-03,4.868848508034747879e-08,6.220376098260055645e-05
1.599499999999999814e-02,1.725063456608029902e-07,1.170864522668496187e-04
2.349250000000000000e-02,3.721254177588417653e-07,1.719676244511778886e-04
3.099000000000000000e-02,6.475406235722725291e-07,2.268465655833001675e-04
3.848750000000000000e-02,9.987449850188961264e-07,2.817225638666221604e-04
4.598500000000000000e-02,1.425729622045985049e-06,3.365949076949988181e-04
5.348250000000000000e-02,1.928483764351300367e-06,3.914628856953004943e-04
6.098000000000000000e-02,2.506994766363570848e-06,4.463257867686606581e-04
6.847750000000000000e-02,3.161248124967053266e-06,5.011829001295982182e-04
7.597500000000000000e-02,3.891227499795145427e-06,5.560335153427453051e-04
8.347250000000000000e-02,4.696914736096078911e-06,6.108769223566782279e-04
9.097000000000000000e-02,5.578289890081350721e-06,6.657124115346060335e-04
9.846750000000000000e-02,6.535331256716224603e-06,7.205392736815799696e-04
1.059650000000000000e-01,7.568006216374396081e-06,7.753568031811436043e-04
1.134625000000000000e-01,8.676293830735622818e-06,8.301642916256036456e-04
1.209600000000000000e-01,9.860168416870055137e-06,8.849610315465061567e-04
1.284575000000000000e-01,1.111960028798853838e-05,9.397463168230017370e-04
1.359550000000000000e-01,1.245455787348485618e-05,9.945194421246950599e-04
1.434525000000000000e-01,1.386500772178914902e-05,1.049279702959877991e-03
1.509500000000000000e-01,1.535091450325967960e-05,1.104026395723658842e-03
1.584475000000000000e-01,1.691224101340436342e-05,1.158758817745901342e-03
1.659450000000000000e-01,1.854894817614275706e-05,1.213476267339068859e-03
1.734425000000000000e-01,2.026099504729113792e-05,1.268178043845820651e-03
1.809400000000000000e-01,2.204833881816881989e-05,1.322863447686530719e-03
1.884375000000000000e-01,2.391093481946648841e-05,1.377531780406627757e-03
1.959350000000000000e-01,2.584873652512814231e-05,1.432182344723666222e-03
2.034325000000000000e-01,2.786169555654020031e-05,1.486814444574348186e-03
2.109300000000000000e-01,2.994976168680479236e-05,1.541427385161156169e-03
2.184275000000000000e-01,3.211288284516569316e-05,1.596020472999031730e-03
2.259250000000000000e-01,3.435100512168279209e-05,1.650593015961595656e-03
2.334225000000000000e-01,3.666407277195776450e-05,1.705144323327341914e-03
2.409200000000000000e-01,3.905202822208218074e-05,1.759673705825521520e-03
2.484175000000000000e-01,4.151481207377903340e-05,1.814180475681742132e-03
2.559150000000000000e-01,4.405236310959435809e-05,1.868663946663460737e-03
