# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
8.497500000000000000e-03,1.932397234619768082e-08,5.999254167492614295e-05
1.599499999999999814e-02,6.846580278033134814e-08,1.129244531373237029e-04
2.349250000000000000e-02,1.476926443984510516e-07,1.658552490045040991e-04
3.099000000000000000e-02,2.570029610731449273e-07,2.187844063861372232e-04
3.848750000000000000e-02,3.963946733723801700e-07,2.717114024676983296e-04
4.598500000000000000e-02,5.658651405210377294e-07,3.246357145302850218e-04
5.348250000000000000e-02,7.654111619486274014e-07,3.775568199679835146e-04
6.098000000000000000e-02,9.950289819244068589e-07,4.304741963059782804e-04
6.847750000000000000e-02,1.254714295517322943e-06,4.833873212179162510e-04
7.597500000000000000e-02,1.544462255552357571e-06,5.362956725419749113e-04
8.347250000000000000e-02,1.864267480503415895e-06,5.891987282951737133e-04
9.097000000000000000e-02,2.214124063258651090e-06,6.420959666857833665e-04
9.846750000000000000e-02,2.594025580754606514e-06,6.949868661235047073e-04
1.059650000000000000e-01,3.003961873741197483e-06,7.478709094428481578e-04
1.134625000000000000e-01,3.443926974137158335e-06,8.007475751535618035e-04
1.209600000000000000e-01,3.913913359124326425e-06,8.536163425023622674e-04
1.284575000000000000e-01,4.413912200510439414e-06,9.064766919945263773e-04
1.359550000000000000e-01,4.943914108094399430e-06,9.593281045987537723e-04
1.434525000000000000e-01,5.503909130206861351e-06,1.012170061775552075e-03
1.509500000000000000e-01,6.093886754200030457e-06,1.065002045505439700e-03
1.584475000000000000e-01,6.713835907065522141e-06,1.117823538317198320e-03
1.659450000000000000e-01,7.363744955992018758e-06,1.170634023315894612e-03
1.734425000000000000e-01,8.043601709008038879e-06,1.223432984210923906e-03
1.809400000000000000e-01,8.753393415639318717e-06,1.276219905343957449e-03
1.884375000000000000e-01,9.493106767572332845e-06,1.328994271716763247e-03
1.959350000000000000e-01,1.026272789941064718e-05,1.381755569018905698e-03
2.034325000000000000e-01,1.106224238941522410e-05,1.434503283655437413e-03
2.109300000000000000e-01,1.189163526024187979e-05,1.487236902774433187e-03
2.184275000000000000e-01,1.275089097981461590e-05,1.539955914294338559e-03
2.259250000000000000e-01,1.363999346211738527e-05,1.592659806931412056e-03
2.334225000000000000e-01,1.455892606808524685e-05,1.645348070226801624e-03
2.409200000000000000e-01,1.550767160652328965e-05,1.698020194573695652e-03
2.484175000000000000e-01,1.648621233498859235e-05,1.750675671244280793e-03
2.559150000000000000e-01,1.749452996081106391e-05,1.803313992416493133e-03
2.634125000000000000e-01,1.853260564206074174e-05,1.855934651200820103e-03
2.709100000000000000e-01,1.960041998857313687e-05,1.908537141666857145e-03
2.784075000000000000e-01,2.069795306300209256e-05,1.961120958869611106e-03
2.859050000000000000e-01,2.182518438191866382e-05,2.013685598875975154e-03
2.934025000000000000e-01,2.298209291693265684e-05,2.066230558790672651e-03
3.009000000000000000e-01,2.416865709582448519e-05,2.118755336782408329e-03
3.083975000000000000e-01,2.538485480372768886e-05,2.171259432109655819e-03
3.158950000000000000e-01,2.663066338436320348e-05,2.223742345146291662e-03
3.233925000000000000e-01,2.790605964126599965e-05,2.276203577407167299e-03
3.308900000000000000e-01,2.921101983902953350e-05,2.328642631573514532e-03
3.383875000000000000e-01,3.054551970466201589e-05,2.381059011518060851e-03
3.458850000000000000e-01,3.190953442889851727e-05,2.433452222330087945e-03
3.533825000000000000e-01,3.330303866754434156e-05,2.485821770340319349e-03
