# Frequency (GHz),Output Power (W)
8.497500000000000000e-03,1.183286711551655565e-09
1.599499999999999814e-02,4.192476811722793090e-09
2.349250000000000000e-02,9.043818720256174100e-09
3.099000000000000000e-02,1.573708840548487148e-08
3.848750000000000000e-02,2.427197680444666136e-08
4.598500000000000000e-02,3.464808986260094849e-08
5.348250000000000000e-02,4.686494858420172043e-08
6.098000000000000000e-02,6.092198909268023510e-08
6.847750000000000000e-02,7.681856270049491780e-08
7.597500000000000000e-02,9.455393598787360530e-08
8.347250000000000000e-02,1.141272908897168234e-07
9.097000000000000000e-02,1.355377247899050852e-07
9.846750000000000000e-02,1.587842506221444106e-07
1.059650000000000000e-01,1.838657984103524387e-07
1.134625000000000000e-01,2.107812127459378855e-07
1.209600000000000000e-01,2.395292543092819263e-07
1.284575000000000000e-01,2.701086002839729093e-07
1.359550000000000000e-01,3.025178442796244747e-07
1.434525000000000000e-01,3.367554965244100880e-07
1.509500000000000000e-01,3.728199840688904808e-07
1.584475000000000000e-01,4.107096510010323290e-07
1.659450000000000000e-01,4.504227586724222717e-07
1.734425000000000000e-01,4.919574859355297336e-07
1.809400000000000000e-01,5.353119293920655612e-07
1.884375000000000000e-01,5.804841036523290057e-07
1.959350000000000000e-01,6.274719416053904283e-07
2.034325000000000000e-01,6.762732947002323879e-07
2.109300000000000000e-01,7.268859332374977515e-07
2.184275000000000000e-01,7.793075466721475900e-07
2.259250000000000000e-01,8.335357439265178847e-07
2.334225000000000000e-01,8.895680537140891895e-07
2.409200000000000000e-01,9.474019248736346699e-07
2.484175000000000000e-01,1.007034726713677592e-06
2.559150000000000000e-01,1.068463749367370809e-06
2.634125000000000000e-01,1.131686204157425982e-06
2.709100000000000000e-01,1.196699223971325665e-06
2.784075000000000000e-01,1.263499863646249171e-06
2.859050000000000000e-01,1.332085100364265750e-06
2.934025000000000000e-01,1.402451834056950152e-06
3.009000000000000000e-01,1.474596887820137394e-06
3.083975000000000000e-01,1.548517008337788426e-06
3.158950000000000000e-01,1.624208866315773061e-06
3.233925000000000000e-01,1.701669056924810616e-06
3.308900000000000000e-01,1.780894100252743995e-06
3.383875000000000000e-01,1.861880441765957076e-06
3.458850000000000000e-01,1.944624452779890507e-06
3.533825000000000000e-01,2.029122430938345244e-06
3.608800000000000000e-01,2.115370600701860581e-06
3.683775000000000000e-01,2.203365113844507436e-06
3.758750000000000000e-01,2.293102049959369244e-06
3.833725000000000000e-01,2.384577416972409314e-06
3.908700000000000000e-01,2.477787151664891108e-06
3.983675000000000000e-01,2.572727120203514559e-06
4.058650000000000000e-01,2.669393118679252698e-06
4.133625000000000000e-01,2.767780873653349086e-06
4.208600000000000000e-01,2.867886042711822007e-06
4.283575000000000000e-01,2.969704215027135826e-06
4.358550000000000000e-01,3.073230911927820905e-06
4.433525000000000000e-01,3.178461587474898161e-06
4.508500000000000000e-01,3.285391629046176788e-06
4.583475000000000000e-01,3.394016357927398554e-06
4.658450000000000000e-01,3.504331029910034266e-06
4.733425000000000000e-01,3.616330835896596811e-06
4.808400000000000000e-01,3.730010902511872833e-06
4.883375000000000000e-01,3.845366292721336406e-06
4.958350000000000000e-01,3.962392006455711744e-06
5.033324999999999404e-01,4.081082981241469374e-06
5.108300000000000000e-01,4.201434092837891473e-06
5.183275000000000596e-01,4.323440155879858916e-06
5.258250000000000000e-01,4.447095924526796248e-06
5.333225000000000596e-01,4.572396093116198266e-06
5.408200000000000000e-01,4.699335296824191196e-06
5.483175000000000000e-01,4.827908112330336673e-06
5.558150000000000000e-01,4.958109058487855875e-06
5.633125000000000000e-01,5.089932596999098487e-06
5.708100000000000000e-01,5.223373133096021868e-06
5.783075000000000000e-01,5.358425016224668209e-06
5.858050000000000000e-01,5.495082540735389662e-06
5.933025000000000000e-01,5.633339946576194778e-06
6.008000000000000000e-01,5.773191419991780239e-06
6.082975000000000000e-01,5.914631094225224805e-06
6.157950000000000000e-01,6.057653050224753611e-06
6.232925000000000000e-01,6.202251317353887196e-06
6.307900000000000000e-01,6.348419874105289536e-06
6.382875000000000000e-01,6.496152648817853426e-06
6.457850000000000000e-01,6.645443520397683919e-06
6.532825000000000000e-01,6.796286319041897293e-06
6.607800000000000000e-01,6.948674826965415133e-06
6.682775000000000000e-01,7.102602779130761984e-06
6.757750000000000000e-01,7.258063863980928429e-06
6.832725000000000000e-01,7.415051724173664792e-06
6.907700000000000000e-01,7.573559957319753362e-06
6.982675000000000000e-01,7.733582116722558791e-06
7.057650000000000000e-01,7.895111712119308128e-06
7.132625000000000000e-01,8.058142210426079167e-06
7.207600000000000000e-01,8.222667036482073051e-06
7.282575000000000000e-01,8.388679573797896730e-06
7.357550000000000000e-01,8.556173165304152046e-06
7.432525000000000000e-01,8.725141114100719384e-06
7.507500000000000000e-01,8.895576684209478580e-06
7.582475000000000000e-01,9.067473101325349322e-06
7.657450000000000000e-01,9.240823553570650222e-06
7.732425000000000000e-01,9.415621192248463468e-06
7.807400000000000000e-01,9.591859132597264952e-06
7.882375000000000000e-01,9.769530454546442082e-06
7.957350000000000000e-01,9.948628203471171236e-06
8.032325000000000000e-01,1.012914539094864370e-05
8.107300000000000000e-01,1.031107499551279912e-05
8.182275000000000000e-01,1.049440996341126127e-05
8.257250000000000000e-01,1.067914320935894662e-05
8.332225000000000000e-01,1.086526761729384984e-05
8.407200000000000000e-01,1.105277604113129783e-05
8.482175000000000000e-01,1.124166130551734656e-05
8.557150000000000000e-01,1.143191620658206272e-05
8.632125000000000000e-01,1.162353351269064376e-05
8.707100000000000000e-01,1.181650596519586600e-05
8.782075000000000000e-01,1.201082627918536425e-05
8.857050000000000000e-01,1.220648714423207421e-05
8.932025000000000000e-01,1.240348122514021095e-05
9.007000000000000000e-01,1.260180116269027168e-05
9.081975000000000000e-01,1.280143957438315761e-05
9.156950000000000000e-01,1.300238905518155137e-05
9.231925000000000000e-01,1.320464217824918192e-05
9.306900000000000000e-01,1.340819149568982868e-05
9.381875000000000000e-01,1.361302953928093843e-05
9.456850000000000000e-01,1.381914882120862118e-05
9.531825000000000000e-01,1.402654183479670671e-05
9.606800000000000000e-01,1.423520105523575702e-05
9.681775000000000000e-01,1.444511894030835184e-05
9.756750000000000000e-01,1.465628793111162467e-05
9.831725000000000000e-01,1.486870045277678850e-05
9.906700000000000000e-01,1.508234891518618979e-05
9.981675000000000000e-01,1.529722571368745897e-05
1.005665000000000000e+00,1.551332322980259216e-05
1.013162500000000000e+00,1.573063383193636550e-05
1.020659999999999881e+00,1.594914987607930641e-05
1.028157500000000000e+00,1.616886370650826610e-05
1.035655000000000000e+00,1.638976765648214530e-05
1.043152499999999881e+00,1.661185404893634950e-05
1.050650000000000119e+00,1.683511519717037638e-05
1.058147500000000000e+00,1.705954340553256403e-05
1.065645000000000000e+00,1.728513097010395488e-05
1.073142500000000119e+00,1.751187017937152086e-05
1.080640000000000000e+00,1.773975331490390932e-05
1.088137500000000000e+00,1.796877265201968433e-05
1.095635000000000000e+00,1.819892046045081427e-05
1.103132500000000000e+00,1.843018900500261901e-05
1.110630000000000000e+00,1.866257054620948177e-05
1.118127500000000000e+00,1.889605734098689170e-05
1.125625000000000000e+00,1.913064164327518557e-05
1.133122500000000000e+00,1.936631570468366208e-05
1.140620000000000000e+00,1.960307177512424383e-05
1.148117500000000000e+00,1.984090210344714844e-05
1.155615000000000000e+00,2.007979893806426415e-05
1.163112500000000000e+00,2.031975452757349779e-05
1.170610000000000000e+00,2.056076112137492689e-05
1.178107500000000000e+00,2.080281097028156126e-05
1.185605000000000000e+00,2.104589632712747875e-05
1.193102500000000000e+00,2.129000944736859522e-05
1.200600000000000000e+00,2.153514258967905709e-05
1.208097500000000000e+00,2.178128801654082025e-05
1.215595000000000000e+00,2.202843799483020012e-05
1.223092500000000000e+00,2.227658479639908868e-05
1.230590000000000000e+00,2.252572069864554972e-05
1.238087500000000000e+00,2.277583798508658598e-05
1.245585000000000000e+00,2.302692894591917982e-05
1.253082500000000000e+00,2.327898587857989065e-05
1.260580000000000000e+00,2.353200108829496556e-05
1.268077500000000000e+00,2.378596688862698389e-05
1.275575000000000000e+00,2.404087560201827292e-05
1.283072500000000000e+00,2.429671956032127244e-05
1.290570000000000000e+00,2.455349110533237221e-05
1.298067500000000000e+00,2.481118258931063830e-05
1.305565000000000000e+00,2.506978637549887054e-05
1.313062500000000000e+00,2.532929483863325201e-05
1.320560000000000000e+00,2.558970036544880414e-05
1.328057500000000000e+00,2.585099535518126728e-05
1.335555000000000000e+00,2.611317222005691272e-05
1.343052500000000000e+00,2.637622338578449947e-05
1.350550000000000000e+00,2.664014129203472536e-05
1.358047500000000000e+00,2.690491839291481963e-05
1.365545000000000000e+00,2.717054715744255609e-05
1.373042500000000000e+00,2.743702007000494521e-05
1.380540000000000000e+00,2.770432963081975185e-05
1.388037500000000000e+00,2.797246835638329791e-05
1.395535000000000000e+00,2.824142877992164621e-05
1.403032500000000000e+00,2.851120345182274661e-05
1.410530000000000000e+00,2.878178494007698458e-05
1.418027500000000000e+00,2.905316583069956945e-05
1.425525000000000000e+00,2.932533872815290229e-05
1.433022500000000000e+00,2.959829625576316703e-05
1.440520000000000000e+00,2.987203105612785161e-05
1.448017500000000000e+00,3.014653579152067712e-05
