# Frequency (GHz),Output Power (W)
8.497500000000000000e-03,1.100654472173045425e-09
1.599499999999999814e-02,3.899712453459722125e-09
2.349250000000000000e-02,8.412309044218296602e-09
3.099000000000000000e-02,1.463827029267059107e-08
3.848750000000000000e-02,2.257735621154091191e-08
4.598500000000000000e-02,3.222926079976652400e-08
5.348250000000000000e-02,4.359361206900708785e-08
6.098000000000000000e-02,5.666997207523931113e-08
6.847750000000000000e-02,7.145783695516572026e-08
7.597500000000000000e-02,8.795663696708914843e-08
8.347250000000000000e-02,1.061657365357933455e-07
9.097000000000000000e-02,1.260844343009779827e-07
9.846750000000000000e-02,1.477119631686769145e-07
1.059650000000000000e-01,1.710474922874433249e-07
1.134625000000000000e-01,1.960901235102128108e-07
1.209600000000000000e-01,2.228388933506983052e-07
1.284575000000000000e-01,2.512927734132760267e-07
1.359550000000000000e-01,2.814506701545934299e-07
1.434525000000000000e-01,3.133114250010232410e-07
1.509500000000000000e-01,3.468738144729611749e-07
1.584475000000000000e-01,3.821365503160667292e-07
1.659450000000000000e-01,4.190982796392603095e-07
1.734425000000000000e-01,4.577575850595938156e-07
1.809400000000000000e-01,4.981129848539038963e-07
1.884375000000000000e-01,5.401629331171874709e-07
1.959350000000000000e-01,5.839058199276672738e-07
2.034325000000000000e-01,6.293399715186062948e-07
2.109300000000000000e-01,6.764636504567235161e-07
2.184275000000000000e-01,7.252750558271313808e-07
2.259250000000000000e-01,7.757723234250207250e-07
2.334225000000000000e-01,8.279535259536338711e-07
2.409200000000000000e-01,8.818166732288856591e-07
2.484175000000000000e-01,9.373597123903554363e-07
2.559150000000000000e-01,9.945805281185647726e-07
2.634125000000000000e-01,1.053476942858795858e-06
2.709100000000000000e-01,1.114046717051062325e-06
2.784075000000000000e-01,1.176287549366201046e-06
2.859050000000000000e-01,1.240197076948486089e-06
2.934025000000000000e-01,1.305772875663944048e-06
3.009000000000000000e-01,1.373012460355152141e-06
3.083975000000000000e-01,1.441913285101817096e-06
3.158950000000000000e-01,1.512472743487317365e-06
3.233925000000000000e-01,1.584688168871272816e-06
3.308900000000000000e-01,1.658556834667962771e-06
3.383875000000000000e-01,1.734075954630377233e-06
3.458850000000000000e-01,1.811242683140133610e-06
3.533825000000000000e-01,1.890054115503078502e-06
3.608800000000000000e-01,1.970507288250411093e-06
3.683775000000000000e-01,2.052599179445351431e-06
3.758750000000000000e-01,2.136326708995323947e-06
3.833725000000000000e-01,2.221686738969691163e-06
3.908700000000000000e-01,2.308676073922409926e-06
3.983675000000000000e-01,2.397291461220389662e-06
4.058650000000000000e-01,2.487529591376976023e-06
4.133625000000000000e-01,2.579387098390351983e-06
4.208600000000000000e-01,2.672860560087192235e-06
4.283575000000000000e-01,2.767946498471264259e-06
