"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,1.55183911440284E-11
0.0084975,1.12055333429949E-09
0.015995,3.97033466609214E-09
0.0234925,8.56505788491479E-09
0.03099,1.4905035628894E-08
0.0384875,2.29906989012905E-08
0.045985,3.2822596444573E-08
0.0534825,4.44013938294753E-08
0.06098,5.77278724148659E-08
0.0684775,7.28029281554784E-08
0.075975,8.96275702430244E-08
0.0834725,1.08202919575064E-07
0.09097,1.28530207049611E-07
0.0984675,1.50610771684829E-07
0.105965,1.7444606007137E-07
0.1134625,2.00037719025882E-07
0.12096,2.27387476100158E-07
0.1284575,2.56497171733411E-07
0.135955,2.87368766702659E-07
0.1434525,3.2000434261139E-07
0.15095,3.54406102408457E-07
0.1584475,3.90576370937356E-07
0.165945,4.28517595516036E-07
0.1734425,4.68232346547426E-07
0.18094,5.09723318160837E-07
0.1884375,5.52993328884444E-07
0.195935,5.98045322349035E-07
0.2034325,6.4488236802323E-07
0.21093,6.935076619804E-07
0.2184275,7.43924527697487E-07
0.225925,7.96136416885995E-07
0.2334225,8.50146910355353E-07
0.24092,9.05959718908947E-07
0.2484175,9.63578684273053E-07
0.255915,1.02300778005898E-06
0.2634125,1.08425111275867E-06
0.27091,1.14731292277407E-06
0.2784075,1.21219758548062E-06
0.285905,1.27890961232509E-06
0.2934025,1.34745365195818E-06
0.3009,1.4178344914022E-06
0.3083975,1.49005705725411E-06
0.315895,1.56412641692441E-06
0.3233925,1.6400477799122E-06
0.33089,1.7178264991167E-06
0.3383875,1.79746807218582E-06
0.345885,1.87897814290205E-06
0.3533825,1.9623625026061E-06
0.36088,2.04762709165887E-06
0.3683775,2.13477800094198E-06
0.375875,2.22382147339752E-06
0.3833725,2.31476390560739E-06
0.39087,2.4076118494128E-06
0.3983675,2.5023720135743E-06
0.405865,2.59905126547307E-06
0.4133625,2.6976566328538E-06
0.42086,2.79819530560987E-06
0.4283575,2.90067463761128E-06
0.435855,3.00510214857599E-06
0.4433525,3.11148552598525E-06
0.45085,3.21983262704353E-06
0.4583475,3.33015148068367E-06
0.465845,3.44245028961794E-06
0.4733425,3.55673743243561E-06
0.48084,3.67302146574784E-06
0.4883375,3.79131112638043E-06
0.495835,3.91161533361528E-06
0.5033325,4.03394319148129E-06
0.51083,4.15830399109539E-06
0.5183275,4.28470721305453E-06
0.525825,4.4131625298795E-06
0.5333225,4.54367980851126E-06
0.54082,4.67626911286077E-06
0.5483175,4.81094070641306E-06
0.555815,4.94770505488662E-06
0.5633125,5.08657282894877E-06
0.57081,5.22755490698817E-06
0.5783075,5.37066237794536E-06
0.585805,5.51590654420226E-06
0.5933025,5.66329892453177E-06
0.6008,5.81285125710838E-06
0.6082975,5.96457550258091E-06
0.615795,6.11848384720867E-06
0.6232925,6.27458870606167E-06
0.63079,6.4329027262867E-06
0.6382875,6.59343879043982E-06
0.645785,6.75621001988702E-06
0.6532825,6.92122977827391E-06
0.66078,7.08851167506589E-06
0.6682775,7.25806956916015E-06
0.675775,7.42991757257072E-06
0.6832725,7.60407005418813E-06
0.69077,7.7805416436148E-06
0.6982675,7.95934723507809E-06
0.705765,8.14050199142199E-06
0.7132625,8.32402134817931E-06
0.72076,8.50992101772592E-06
0.7282575,8.69821699351852E-06
0.735755,8.88892555441764E-06
0.7432525,9.0820632690977E-06
0.75075,9.27764700054579E-06
0.7582475,9.47569391065075E-06
0.765745,9.67622146488488E-06
0.7732425,9.87924743707967E-06
0.78074,1.00847899142978E-05
0.7882375,1.02928673018032E-05
0.795735,1.05034983281314E-05
0.8032325,1.07167020502623E-05
0.81073,1.09324978588968E-05
0.8182275,1.11509054838411E-05
0.825725,1.13719449994987E-05
0.8332225,1.15956368304746E-05
0.84072,1.18220017572929E-05
0.8482175,1.20510609222301E-05
0.855715,1.22828358352672E-05
0.8632125,1.25173483801635E-05
0.87071,1.27546208206534E-05
0.8782075,1.29946758067701E-05
0.885705,1.32375363812993E-05
0.8932025,1.34832259863638E-05
0.9007,1.37317684701445E-05
0.9081975,1.39831880937392E-05
0.915695,1.42375095381624E-05
0.9231925,1.44947579114902E-05
0.93069,1.47549587561526E-05
0.9381875,1.50181380563773E-05
0.945685,1.5284322245788E-05
0.9531825,1.55535382151605E-05
0.96068,1.58258133203419E-05
0.9681775,1.6101175390334E-05
0.975675,1.63796527355468E-05
0.9831725,1.66612741562263E-05
0.99067,1.69460689510581E-05
0.9981675,1.72340669259545E-05
1.005665,1.75252984030262E-05
1.0131625,1.78197942297459E-05
1.02066,1.81175857883056E-05
1.0281575,1.84187050051743E-05
1.035655,1.87231843608603E-05
1.0431525,1.90310568998829E-05
1.05065,1.93423562409582E-05
1.0581475,1.96571165874052E-05
1.065645,1.99753727377771E-05
1.0731425,2.02971600967226E-05
1.08064,2.06225146860846E-05
1.0881375,2.09514731562401E-05
1.095635,2.12840727976891E-05
1.1031325,2.16203515528976E-05
1.11063,2.19603480284012E-05
1.1181275,2.23041015071764E-05
1.125625,2.26516519612859E-05
1.1331225,2.30030400648044E-05
1.14062,2.33583072070335E-05
1.1481175,2.3717495506011E-05
1.155615,2.4080647822324E-05
1.1631125,2.44478077732323E-05
1.17061,2.48190197471113E-05
1.1781075,2.51943289182206E-05
1.185605,2.55737812618099E-05
1.1931025,2.59574235695676E-05
1.2006,2.63453034654234E-05
1.2080975,2.67374694217133E-05
1.215595,2.71339707757167E-05
1.2230925,2.75348577465749E-05
1.23059,2.79401814526022E-05
1.2380875,2.83499939289988E-05
1.245585,2.87643481459772E-05
1.2530825,2.91832980273129E-05
1.26058,2.96068984693297E-05
1.2680775,3.00352053603338E-05
1.275575,3.0468275600506E-05
1.2830725,3.09061671222661E-05
1.29057,3.13489389111229E-05
1.2980675,3.17966510270207E-05
1.305565,3.22493646261986E-05
1.3130625,3.27071419835746E-05
1.32056,3.3170046515671E-05
1.3280575,3.3638142804094E-05
1.335555,3.41114966195844E-05
1.3430525,3.45901749466549E-05
1.35055,3.50742460088303E-05
1.3580475,3.55637792945074E-05
1.365545,3.60588455834528E-05
1.3730425,3.65595169739562E-05
1.38054,3.70658669106572E-05
1.3880375,3.75779702130659E-05
1.395535,3.80959031047968E-05
1.4030325,3.86197432435361E-05
1.41053,3.91495697517633E-05
1.4180275,3.96854632482507E-05
1.425525,4.02275058803608E-05
1.4330225,4.07757813571666E-05
1.44052,4.13303749834184E-05
1.4480175,4.18913736943824E-05
1.455515,4.24588660915749E-05
1.4630125,4.30329424794216E-05
1.47051,4.36136949028664E-05
1.4780075,4.42012171859607E-05
1.485505,4.47956049714597E-05
1.4930025,4.53969557614587E-05
1.5005,4.60053689590985E-05
1.5079975,4.66209459113731E-05
1.515495,4.7243789953074E-05
1.5229925,4.78740064519033E-05
1.53049,4.85117028547944E-05
1.5379875,4.91569887354744E-05
1.545485,4.98099758433085E-05
1.5529825,5.04707781534653E-05
1.56048,5.11395119184436E-05
1.5679775,5.18162957210034E-05
1.575475,5.25012505285457E-05
1.5829725,5.31944997489849E-05
1.59047,5.38961692881627E-05
1.5979675,5.46063876088509E-05
1.605465,5.53252857913942E-05
1.6129625,5.60529975960445E-05
1.62046,5.67896595270422E-05
1.6279575,5.75354108984992E-05
1.635455,5.82903939021423E-05
1.6429525,5.90547536769778E-05
1.65045,5.98286383809379E-05
1.6579475,6.06121992645761E-05
1.665445,6.14055907468773E-05
1.6729425,6.22089704932508E-05
1.68044,6.30224994957818E-05
1.6879375,6.38463421558135E-05
1.695435,6.46806663689378E-05
1.7029325,6.55256436124757E-05
1.71043,6.63814490355321E-05
1.7179275,6.72482615517084E-05
1.725425,6.81262639345666E-05
1.7329225,6.90156429159364E-05
1.74042,6.99165892871627E-05
1.7479175,7.08292980033944E-05
1.755415,7.17539682910195E-05
1.7629125,7.26908037583543E-05
1.77041,7.36400125097015E-05
1.7779075,7.46018072628917E-05
1.785405,7.55764054704348E-05
1.7929025,7.65640294444028E-05
1.8004,7.75649064851803E-05
1.8078975,7.85792690142179E-05
1.815395,7.96073547109309E-05
1.8228925,8.06494066538934E-05
1.83039,8.17056734664791E-05
1.8378875,8.27764094671135E-05
1.845385,8.38618748243013E-05
1.8528825,8.49623357166039E-05
1.86038,8.60780644977498E-05
1.8678775,8.72093398670646E-05
1.875375,8.83564470454172E-05
1.8828725,8.95196779568885E-05
1.89037,9.0699331416374E-05
1.8978675,9.18957133233442E-05
1.905365,9.31091368619923E-05
1.9128625,9.43399227080126E-05
1.92036,9.55883992422609E-05
1.9278575,9.68549027715581E-05
1.935355,9.8139777756913E-05
1.9428525,9.94433770494473E-05
1.95035,0.000100766062134324
1.9578475,0.000102108203382989
1.965345,0.000103470180314047
1.9728425,0.000104852381863117
1.98034,0.000106255206662021
1.9878375,0.000107679063327667
1.995335,0.000109124370761027
2.0028325,0.000110591558456596
2.01033,0.000112081066822777
2.0178275,0.000113593347513609
2.025325,0.000115128863772318
2.0328225,0.00011668809078716
2.04032,0.000118271516060076
2.0478175,0.000119879639788671
2.055315,0.000121512975262077
2.0628125,0.000123172049271288
2.07031,0.000124857402534554
2.0778075,0.000126569590138483
2.085305,0.000128309181995511
2.0928025,0.000130076763318441
2.1003,0.000131872935112769
2.1077975,0.00013369831468758
2.115295,0.000135553536185802
2.1227925,0.000137439251134667
2.13029,0.000139356129017262
2.1377875,0.000141304857866089
2.145285,0.000143286144879625
2.1527825,0.00014530071706288
2.16028,0.000147349321893042
2.1677775,0.000149432728011334
2.175275,0.000151551725942259
2.1827725,0.000153707128841486
2.19027,0.000155899773273682
2.1977675,0.000158130520021661
2.205265,0.000160400254928309
2.2127625,0.000162709889772801
2.22026,0.000165060363182703
2.2277575,0.000167452641583673
2.235255,0.000169887720188504
2.2427525,0.000172366624027416
2.25025,0.000174890409021543
2.2577475,0.000177460163101705
2.265245,0.000180077007374665
2.2727425,0.000182742097339167
2.28024,0.000185456624154215
2.2877375,0.000188221815962146
2.295235,0.000191038939269241
2.3027325,0.000193909300386724
2.31023,0.000196834246935193
2.3177275,0.00019981516941569
2.325225,0.000202853502850791
2.3327225,0.000205950728499312
2.34022,0.000209108375648409
2.3477175,0.00021232802348709
2.355215,0.000215611303065396
2.3627125,0.00021895989934373
2.37021,0.000222375553337112
2.3777075,0.000225860064359411
2.385205,0.000229415292372895
2.3927025,0.000233043160448799
2.4002,0.000236745657344908
2.4076975,0.000240524840206571
2.415195,0.000244382837397929
2.4226925,0.000248321851470564
2.43019,0.000252344162277235
2.4376875,0.000256452130238858
2.445185,0.000260648199773374
2.4526825,0.000264934902895748
2.46018,0.000269314862998893
2.4676775,0.000273790798825985
2.475175,0.000278365528645285
2.4826725,0.000283041974639352
2.49017,0.000287823167521286
2.4976675,0.0002927122513915
2.505165,0.000297712488849441
2.5126625,0.000302827266375625
2.52016,0.000308060100000427
2.5276575,0.000313414641277191
2.535155,0.000318894683578446
2.5426525,0.000324504168735306
2.55015,0.00033024719404158
2.5576475,0.000336128019645626
2.565145,0.000342151076354613
2.5726425,0.000348320973877677
2.58014,0.000354642509536338
2.5876375,0.000361120677472644
2.595135,0.000367760678387759
2.6026325,0.000374567929846131
2.61013,0.000381548077183033
2.6176275,0.000388707005056115
2.625125,0.000396050849684702
2.6326225,0.000403586011823964
2.64012,0.0004113191705247
2.6476175,0.000419257297733493
2.655115,0.00042740767379227
2.6626125,0.000435777903901045
2.67011,0.000444375935612712
2.6776075,0.000453210077434351
2.685105,0.000462289018615593
2.6926025,0.000471621850211245
2.7001,0.000481218087512611
2.7075975,0.000491087693949902
2.715095,0.000501241106576807
2.7225925,0.000511689263257773
2.73009,0.000522443631689007
2.7375875,0.000533516240395588
2.745085,0.000544919711859639
2.7525825,0.000556667297948288
2.76008,0.000568772917825274
2.7675775,0.000581251198546741
2.775075,0.000594117518560112
2.7825725,0.000607388054345181
2.79007,0.000621079830458915
2.7975675,0.000635210773270118
2.805065,0.000649799768697412
2.8125625,0.000664866724294192
2.82006,0.000680432636057685
2.8275575,0.000696519660376341
2.835055,0.000713151191571031
2.8425525,0.000730351945531306
2.85005,0.000748148049998952
2.8575475,0.000766567142107875
2.865045,0.000785638473852649
2.8725425,0.000805393026228793
2.88004,0.000825863632866877
2.8875375,0.000847085114071029
2.895035,0.000869094422271581
2.9025325,0.000891930800012818
2.91003,0.000915635951721841
2.9175275,0.000940254230645141
2.925025,0.000965832842497977
2.9325225,0.000992422067550328
2.94002,0.00102007550307522
2.9475175,0.00104885032831364
2.955015,0.00107880759436915
2.9625125,0.00111001254173922
2.97001,0.00114253494852407
2.9775075,0.00117644951273412
2.985005,0.00121183627255067
2.9925025,0.0012487810688894
3,0.00128737605518315
