"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,3.47971547350501E-12
0.0084975,2.51248925175477E-10
0.015995,8.90012439165237E-10
0.0234925,1.91968157865319E-09
0.03099,3.3402763797528E-09
0.0384875,5.15177791886921E-09
0.045985,7.35414036746374E-09
0.0534825,9.94728799808708E-09
0.06098,1.29310987857717E-08
0.0684775,1.63053746975618E-08
0.075975,2.00697955939151E-08
0.0834725,2.42238524313458E-08
0.09097,2.87667547802688E-08
0.0984675,3.36973072064263E-08
0.105965,3.90176083754561E-08
0.1134625,4.47277386006468E-08
0.12096,5.08269458619595E-08
0.1284575,5.73150100263946E-08
0.135955,6.4191698407201E-08
0.1434525,7.14567660175758E-08
0.15095,7.91099558312013E-08
0.1584475,8.71509990484137E-08
0.165945,9.55796153667889E-08
0.1734425,1.04395513254943E-07
0.18094,1.13598390228354E-07
0.1884375,1.23187933126041E-07
0.195935,1.33163818386943E-07
0.2034325,1.43525712324915E-07
0.21093,1.54273271401252E-07
0.2184275,1.65406142493735E-07
0.225925,1.76923963161236E-07
0.2334225,1.88826361902961E-07
0.24092,2.01112958411493E-07
0.2484175,2.13783363818847E-07
0.255915,2.26837180934825E-07
0.2634125,2.4027400447702E-07
0.27091,2.54093421291896E-07
0.2784075,2.68295010566452E-07
0.285905,2.82878344030021E-07
0.2934025,2.97842986145877E-07
0.3009,3.13188494292339E-07
0.3083975,3.2891441893319E-07
0.315895,3.4502030377725E-07
0.3233925,3.61505685927044E-07
0.33089,3.78370096016554E-07
0.3383875,3.95613058338129E-07
0.345885,4.13234090958647E-07
0.3533825,4.31232705825136E-07
0.36088,4.49608408860063E-07
0.3683775,4.68360700046587E-07
0.375875,4.87489073504103E-07
0.3833725,5.06993017554436E-07
0.39087,5.26872014779121E-07
0.3983675,5.47125542068182E-07
0.405865,5.67753070660913E-07
0.4133625,5.88754066179145E-07
0.42086,6.10127988653528E-07
0.4283575,6.31874292543376E-07
0.435855,6.5399242675062E-07
0.4433525,6.76481834628442E-07
0.45085,6.99341953985164E-07
0.4583475,7.22572217083971E-07
0.465845,7.4617205063904E-07
0.4733425,7.70140875808656E-07
0.48084,7.94478108185872E-07
0.4883375,8.19183157787292E-07
0.495835,8.44255429040506E-07
0.5033325,8.69694320770716E-07
0.51083,8.95499226187093E-07
0.5183275,9.21669532869324E-07
0.525825,9.48204622754884E-07
0.5333225,9.75103872127439E-07
0.54082,1.00236665160687E-06
0.5483175,1.02999232614128E-06
0.555815,1.05798025500144E-06
0.5633125,1.086329791778E-06
0.57081,1.11504028438174E-06
0.5783075,1.14411107504738E-06
0.585805,1.17354150034095E-06
0.5933025,1.20333089117127E-06
0.6008,1.23347857280556E-06
0.6082975,1.26398386488948E-06
0.615795,1.29484608147181E-06
0.6232925,1.32606453103385E-06
0.63079,1.35763851652376E-06
0.6382875,1.38956733539585E-06
0.645785,1.42185027965503E-06
0.6532825,1.45448663590636E-06
0.66078,1.48747568540982E-06
0.6682775,1.52081670414029E-06
0.675775,1.55450896285272E-06
0.6832725,1.58855172715256E-06
0.69077,1.62294425757125E-06
0.6982675,1.65768580964692E-06
0.705765,1.69277563401E-06
0.7132625,1.72821297647384E-06
0.72076,1.76399707813017E-06
0.7282575,1.80012717544925E-06
0.735755,1.8366025003846E-06
0.7432525,1.87342228048224E-06
0.75075,1.91058573899419E-06
0.7582475,1.9480920949961E-06
0.765745,1.98594056350891E-06
0.7732425,2.02413035562428E-06
0.78074,2.06266067863362E-06
0.7882375,2.10153073616062E-06
0.795735,2.14073972829694E-06
0.8032325,2.18028685174101E-06
0.81073,2.22017129993964E-06
0.8182275,2.26039226323231E-06
0.825725,2.30094892899785E-06
0.8332225,2.34184048180342E-06
0.84072,2.38306610355547E-06
0.8482175,2.42462497365256E-06
0.855715,2.46651626913978E-06
0.8632125,2.50873916486464E-06
0.87071,2.5512928336341E-06
0.8782075,2.5941764463727E-06
0.885705,2.63738917228148E-06
0.8932025,2.68093017899751E-06
0.9007,2.72479863275394E-06
0.9081975,2.76899369854025E-06
0.915695,2.81351454026255E-06
0.9231925,2.85836032090386E-06
0.93069,2.90353020268412E-06
0.9381875,2.94902334721962E-06
0.945685,2.99483891568202E-06
0.9531825,3.04097606895653E-06
0.96068,3.08743396779913E-06
0.9681775,3.13421177299285E-06
0.975675,3.18130864550274E-06
0.9831725,3.22872374662964E-06
0.99067,3.27645623816238E-06
0.9981675,3.32450528252847E-06
