# Frequency (GHz),Output Power (W)
8.497499999999999845e-03,8.474005047835631940e-10
1.599499999999999880e-02,3.002415681344584822e-09
2.349249999999999949e-02,6.476707575000945172e-09
3.099000000000000019e-02,1.127015749110058208e-08
3.848750000000000088e-02,1.738260167882827050e-08
4.598499999999999810e-02,2.481383134938084345e-08
5.348250000000000226e-02,3.356359269787329500e-08
6.097999999999999948e-02,4.363158692942798812e-08
6.847749999999999670e-02,5.501747028924817896e-08
7.597500000000000087e-02,6.772085409635310910e-08
8.347250000000000503e-02,8.174130478065181707e-08
9.096999999999999531e-02,9.707834392292039351e-08
9.846749999999999947e-02,1.137314482972454721e-07
1.059650000000000036e-01,1.317000501488185181e-07
1.134624999999999939e-01,1.509835369789238998e-07
1.209599999999999981e-01,1.715812516490601355e-07
1.284575000000000022e-01,1.934924925372411101e-07
1.359549999999999925e-01,2.167165135843235888e-07
1.434525000000000106e-01,2.412525243758826397e-07
1.509500000000000008e-01,2.670996902288955563e-07
1.584474999999999911e-01,2.942571322831919811e-07
1.659450000000000092e-01,3.227239275976475201e-07
1.734424999999999994e-01,3.524991092511235211e-07
1.809399999999999897e-01,3.835816664480858349e-07
1.884375000000000078e-01,4.159705446289176751e-07
1.959349999999999981e-01,4.496646455848885646e-07
2.034324999999999883e-01,4.846628275776944013e-07
2.109300000000000064e-01,5.209639054636696520e-07
2.184274999999999967e-01,5.585666508224414391e-07
2.259249999999999869e-01,5.974697920902364339e-07
2.334225000000000050e-01,6.376720146976103716e-07
2.409199999999999953e-01,6.791719612116140618e-07
2.484175000000000133e-01,7.219682314824540725e-07
2.559150000000000036e-01,7.660593827944842940e-07
2.634124999999999939e-01,8.114439300215388641e-07
2.709099999999999842e-01,8.581203457866838528e-07
2.784074999999999744e-01,9.060870606260246459e-07
2.859050000000000202e-01,9.553424631570466495e-07
2.934025000000000105e-01,1.005884900250795489e-06
3.009000000000000008e-01,1.057712677208574858e-06
3.083974999999999911e-01,1.110824057942370254e-06
3.158949999999999814e-01,1.165217265159701848e-06
3.233925000000000272e-01,1.220890480552213406e-06
3.308900000000000174e-01,1.277841844988346450e-06
