"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,1.68619196965721E-15
0.0084975,2.55375547625876E-15
0.015995,2.461414053679E-15
0.0234925,2.41657917508709E-15
0.03099,2.39535920908589E-15
0.0384875,2.38417052458463E-15
0.045985,2.37769489666225E-15
0.0534825,2.37366730650339E-15
0.06098,2.37101368309899E-15
0.0684775,2.3691733572658E-15
0.075975,2.36782796749034E-15
0.0834725,2.36678244302954E-15
0.09097,2.36590840920051E-15
0.0984675,2.36511541477473E-15
0.105965,2.36440456848627E-15
0.1134625,2.36376888858903E-15
0.12096,2.36317960794002E-15
0.1284575,2.36262200332788E-15
0.135955,2.3620853004275E-15
0.1434525,2.36156146955364E-15
0.15095,2.36104442915404E-15
0.1584475,2.36052950657175E-15
0.165945,2.36001306531206E-15
0.1734425,2.35949224254701E-15
0.18094,2.35896476111171E-15
0.1884375,2.35842879277697E-15
0.195935,2.35788285741614E-15
0.2034325,2.35732574768713E-15
0.21093,2.35675647210852E-15
0.2184275,2.3561742115693E-15
0.225925,2.35557828576711E-15
0.2334225,2.35496812706651E-15
0.24092,2.35434325995966E-15
0.2484175,2.3537032847978E-15
0.255915,2.35304786480789E-15
0.2634125,2.35237671565712E-15
0.27091,2.35168959700941E-15
0.2784075,2.3509863056506E-15
0.285905,2.35026666985764E-15
0.2934025,2.34953054476087E-15
0.3009,2.34877780850388E-15
0.3083975,2.34800835904777E-15
0.315895,2.34722211149896E-15
0.3233925,2.34641899586453E-15
0.33089,2.34559895515846E-15
0.3383875,2.34476194379739E-15
0.345885,2.34390792623606E-15
0.3533825,2.34303687580231E-15
0.36088,2.34214877369871E-15
0.3683775,2.34124360814403E-15
0.375875,2.34032137363243E-15
0.3833725,2.33938207029207E-15
0.39087,2.33842570332813E-15
0.3983675,2.33745228253748E-15
0.405865,2.33646182188467E-15
0.4133625,2.33545433913029E-15
0.42086,2.33442985550433E-15
0.4283575,2.33338839541836E-15
0.435855,2.33232998621101E-15
0.4433525,2.33125465792259E-15
0.45085,2.33016244309465E-15
0.4583475,2.32905337659158E-15
0.465845,2.32792749544111E-15
0.4733425,2.32678483869153E-15
0.48084,2.32562544728351E-15
0.4883375,2.3244493639347E-15
0.495835,2.32325663303552E-15
0.5033325,2.32204730055503E-15
0.51083,2.32082141395534E-15
0.5183275,2.31957902211397E-15
0.525825,2.31832017525292E-15
0.5333225,2.3170449248739E-15
0.54082,2.31575332369897E-15
0.5483175,2.31444542561597E-15
0.555815,2.31312128562826E-15
0.5633125,2.31178095980835E-15
0.57081,2.31042450525489E-15
0.5783075,2.30905198005277E-15
0.585805,2.30766344323599E-15
0.5933025,2.30625895475303E-15
0.6008,2.30483857543439E-15
0.6082975,2.30340236696218E-15
0.615795,2.30195039184158E-15
0.6232925,2.3004827133738E-15
0.63079,2.29899939563065E-15
0.6382875,2.29750050343042E-15
0.645785,2.29598610231492E-15
0.6532825,2.29445625852769E-15
0.66078,2.29291103899323E-15
0.6682775,2.29135051129701E-15
0.675775,2.28977474366651E-15
0.6832725,2.28818380495286E-15
0.69077,2.28657776461327E-15
0.6982675,2.28495669269403E-15
