# Frequency (GHz),Electric Dipole Moment * 377 (Vm),Magnetic Dipole Moment (Vm)
1.044137931034480049e-01,1.110835669563825946e-03,4.631021753312295601e-08
2.078275862068970081e-01,2.211534051971531488e-03,1.796363224703523512e-07
3.112413793103450121e-01,3.313220373440425252e-03,3.888466611452923577e-07
4.146551724137930162e-01,4.416365256027677579e-03,6.562658513506568937e-07
5.180689655172410202e-01,5.521415846890789271e-03,9.588724017086362179e-07
6.214827586206900234e-01,6.628790643540665925e-03,1.269859646608253145e-06
7.248965517241380274e-01,7.738876352527170217e-03,1.560465740849518726e-06
8.283103448275860314e-01,8.852027146768581822e-03,1.801957372668951913e-06
9.317241379310340355e-01,9.968566487280235144e-03,1.967642865447439621e-06
1.035137931034479930e+00,1.108879160947651502e-02,2.034788437877160076e-06
1.138551724137929932e+00,1.221298053227650934e-02,1.986317069413007677e-06
1.241965517241379935e+00,1.334140138927972750e-02,1.812181663670974677e-06
1.345379310344829937e+00,1.447432366688194798e-02,1.510322151388544979e-06
1.448793103448279940e+00,1.561203088287656249e-02,1.087139164308358021e-06
1.552206896551719950e+00,1.675483411706584977e-02,5.574427645090407170e-07
1.655620689655169953e+00,1.790308577870928369e-02,5.613650053181074877e-08
1.759034482758619955e+00,1.905719303983688384e-02,7.242576133825505441e-07
1.862448275862069735e+00,2.021763041855273446e-02,1.412454331839650697e-06
1.965862068965519960e+00,2.138495116175611124e-02,2.083122050378371900e-06
2.069275862068970184e+00,2.255979728949680102e-02,2.697807743300279169e-06
2.172689655172410195e+00,2.374290847223247541e-02,3.219683690267461010e-06
2.276103448275859975e+00,2.493513028663487535e-02,3.616070412454852688e-06
2.379517241379310200e+00,2.613742294181430059e-02,3.860865745847808299e-06
2.482931034482759980e+00,2.735087228527165876e-02,3.936736897228936329e-06
2.586344827586210204e+00,2.857670598137682788e-02,3.836941914188208875e-06
2.689758620689659985e+00,2.981631943447975511e-02,3.566668627261567053e-06
2.793172413793099995e+00,3.107131888475924558e-02,3.143817174134602127e-06
2.896586206896550220e+00,3.234359416282814315e-02,2.599218833844811238e-06
3.000000000000000000e+00,3.363544316143827345e-02,1.976418144423065855e-06
