"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,1.5501348336632E-11
0.0084975,1.11931426351748E-09
0.015995,3.96585221324093E-09
0.0234925,8.55506202114278E-09
0.03099,1.48868562303864E-08
0.0384875,2.29611126316045E-08
0.045985,3.27776720548891E-08
0.0534825,4.43363357285287E-08
0.06098,5.76368621519201E-08
0.0684775,7.26789634462098E-08
0.075975,8.94623011741756E-08
0.0834725,1.0798648163009E-07
0.09097,1.2825105060359E-07
0.0984675,1.50255487623101E-07
0.105965,1.73999290908807E-07
0.1134625,1.99482022749356E-07
0.12096,2.267031191944E-07
0.1284575,2.5566197819071E-07
0.135955,2.86357959796361E-07
0.1434525,3.18790386295999E-07
0.15095,3.52958542322918E-07
0.1584475,3.88861674987909E-07
0.165945,4.26498994014893E-07
0.1734425,4.65869671883274E-07
0.18094,5.06972843977023E-07
0.1884375,5.49807608740429E-07
0.195935,5.94373027840533E-07
0.2034325,6.40668126336175E-07
0.21093,6.88691892853652E-07
0.2184275,7.38443279768938E-07
0.225925,7.89921203396447E-07
0.2334225,8.43124544184297E-07
0.24092,8.98052146916041E-07
0.2484175,9.54702820918826E-07
0.255915,1.01307534027795E-06
0.2634125,1.07316844405778E-06
0.27091,1.13498083652896E-06
0.2784075,1.19851118740192E-06
0.285905,1.26375813206662E-06
0.2934025,1.33072027183843E-06
0.3009,1.39939617421021E-06
0.3083975,1.46978437311045E-06
0.315895,1.54188336916747E-06
0.3233925,1.61569162997963E-06
0.33089,1.69120759039144E-06
0.3383875,1.76842965277563E-06
0.345885,1.84735618732101E-06
0.3533825,1.92798553232617E-06
0.36088,2.01031599449884E-06
0.3683775,2.09434584926103E-06
0.375875,2.18007334105969E-06
0.3833725,2.26749668368299E-06
0.39087,2.35661406058207E-06
0.3983675,2.4474236251983E-06
0.405865,2.53992350129575E-06
0.4133625,2.63411178329921E-06
0.42086,2.72998653663725E-06
0.4283575,2.82754579809056E-06
0.435855,2.92678757614538E-06
0.4433525,3.027709851352E-06
0.45085,3.1303105766882E-06
0.4583475,3.23458767792762E-06
0.465845,3.34053905401291E-06
0.4733425,3.44816257743376E-06
0.48084,3.55745609460943E-06
0.4883375,3.66841742627608E-06
0.495835,3.78104436787851E-06
0.5033325,3.89533468996635E-06
0.51083,4.01128613859473E-06
0.5183275,4.1288964357291E-06
0.525825,4.24816327965442E-06
0.5333225,4.36908434538832E-06
0.54082,4.49165728509842E-06
0.5483175,4.61587972852363E-06
0.555815,4.74174928339918E-06
0.5633125,4.86926353588564E-06
0.57081,4.99842005100147E-06
0.5783075,5.12921637305935E-06
0.585805,5.26165002610589E-06
0.5933025,5.39571851436483E-06
0.6008,5.53141932268371E-06
0.6082975,5.66874991698355E-06
0.615795,5.80770774471195E-06
0.6232925,5.94829023529908E-06
0.63079,6.09049480061673E-06
0.6382875,6.23431883544026E-06
0.645785,6.37975971791324E-06
0.6532825,6.52681481001493E-06
