"Freq [GHz]","mag(S(waveport1:1,antenna))**2 []"
0.001,1.45839044565264E-13
0.0084975,1.36116712717322E-13
0.015995,1.36880708315796E-13
0.0234925,1.38102169388962E-13
0.03099,1.39686117695889E-13
0.0384875,1.4162804907392E-13
0.045985,1.43916785557979E-13
0.0534825,1.46532131733685E-13
0.06098,1.49447753824619E-13
0.0684775,1.52633250281378E-13
0.075975,1.56055533227368E-13
0.0834725,1.59679847464361E-13
0.09097,1.63470593752495E-13
0.0984675,1.67392027846681E-13
0.105965,1.71561976014699E-13
0.1134625,1.7586643821599E-13
0.12096,1.8024071124703E-13
0.1284575,1.84657532795829E-13
0.135955,1.8909156696747E-13
0.1434525,1.9351954760782E-13
0.15095,1.9792036184499E-13
0.1584475,2.02275080824814E-13
0.165945,2.06566945204372E-13
0.1734425,2.10781313111963E-13
0.18094,2.14905578073869E-13
0.1884375,2.18929063938386E-13
0.195935,2.22842903179837E-13
0.2034325,2.26639904212678E-13
0.21093,2.30314412548461E-13
0.2184275,2.33862169833309E-13
0.225925,2.37280174045025E-13
0.2334225,2.40566543430185E-13
0.24092,2.43720386136724E-13
0.2484175,2.4674167695293E-13
0.255915,2.49631142100503E-13
0.2634125,2.5239015264432E-13
0.27091,2.55020626768924E-13
0.2784075,2.57524940924364E-13
0.285905,2.59905849653725E-13
0.2934025,2.6216641377333E-13
0.3009,2.64309936476387E-13
0.3083975,2.66339906864486E-13
0.315895,2.68259950372245E-13
0.3233925,2.70073785532965E-13
0.33089,2.71785186532248E-13
0.3383875,2.73397951008278E-13
0.345885,2.74915872578147E-13
0.3533825,2.76342717596702E-13
0.36088,2.77682205685389E-13
0.3683775,2.78937993601968E-13
0.375875,2.8011366205618E-13
0.3833725,2.81212705110643E-13
0.39087,2.82238521839501E-13
0.3983675,2.83194409949263E-13
0.405865,2.84083561096417E-13
0.4133625,2.84909057664558E-13
0.42086,2.85673870789893E-13
0.4283575,2.86380859447937E-13
0.435855,2.8703277043611E-13
0.4433525,2.87632239106796E-13
0.45085,2.88181790723379E-13
0.4583475,2.88683842327846E-13
0.465845,2.89140705023005E-13
0.4733425,2.89554586585209E-13
0.48084,2.8992759433492E-13
0.4883375,2.90261738202567E-13
0.495835,2.90558933936103E-13
0.5033325,2.90821006404536E-13
0.51083,2.91049692958657E-13
0.5183275,2.91246646816215E-13
0.525825,2.91413440444117E-13
0.5333225,2.91551568914835E-13
0.54082,2.9166245321823E-13
0.5483175,2.91747443513444E-13
0.555815,2.91807822308572E-13
0.5633125,2.91844807558369E-13
0.57081,2.91859555672489E-13
0.5783075,2.91853164428651E-13
0.585805,2.9182667578676E-13
0.5933025,2.91781078601352E-13
0.6008,2.91717311230941E-13
0.6082975,2.91636264043765E-13
0.615795,2.91538781820292E-13
0.6232925,2.9142566605347E-13
0.63079,2.91297677148282E-13
0.6382875,2.91155536522614E-13
0.645785,2.90999928611771E-13
0.6532825,2.90831502779277E-13
0.66078,2.90650875136806E-13
0.6682775,2.90458630276213E-13
0.675775,2.90255322916789E-13
0.6832725,2.9004147947088E-13
0.69077,2.89817599531091E-13
0.6982675,2.89584157282244E-13
0.705765,2.89341602841295E-13
0.7132625,2.8909036352833E-13
0.72076,2.88830845071738E-13
0.7282575,2.88563432750571E-13
0.735755,2.88288492477024E-13
0.7432525,2.88006371821908E-13
0.75075,2.87717400985848E-13
0.7582475,2.8742189371891E-13
0.765745,2.87120148191197E-13
0.7732425,2.86812447816901E-13
0.78074,2.86499062034173E-13
0.7882375,2.86180247043097E-13
0.795735,2.85856246503921E-13
0.8032325,2.85527292197639E-13
0.81073,2.85193604650899E-13
0.8182275,2.84855393727115E-13
0.825725,2.8451285918561E-13
0.8332225,2.84166191210461E-13
0.84072,2.83815570910715E-13
0.8482175,2.83461170793483E-13
0.855715,2.83103155211411E-13
0.8632125,2.82741680785899E-13
0.87071,2.82376896807393E-13
0.8782075,2.82008945614007E-13
0.885705,2.81637962949655E-13
0.8932025,2.81264078302812E-13
0.9007,2.80887415226976E-13
0.9081975,2.80508091643823E-13
0.915695,2.80126220130024E-13
0.9231925,2.797419081886E-13
0.93069,2.79355258505688E-13
0.9381875,2.78966369193509E-13
0.945685,2.78575334020297E-13
0.9531825,2.78182242627919E-13
0.96068,2.77787180737847E-13
0.9681775,2.77390230346141E-13
0.975675,2.76991469908028E-13
0.9831725,2.76590974512675E-13
0.99067,2.76188816048665E-13
0.9981675,2.75785063360715E-13
1.005665,2.75379782398098E-13
1.0131625,2.74973036355233E-13
1.02066,2.74564885804863E-13
1.0281575,2.74155388824246E-13
1.035655,2.73744601114716E-13
1.0431525,2.73332576114996E-13
1.05065,2.72919365108592E-13
1.0581475,2.72505017325597E-13
1.065645,2.72089580039211E-13
1.0731425,2.7167309865725E-13
1.08064,2.71255616808937E-13
1.0881375,2.70837176427214E-13
1.095635,2.70417817826822E-13
1.1031325,2.69997579778386E-13
1.11063,2.69576499578702E-13
1.1181275,2.69154613117453E-13
1.125625,2.6873195494053E-13
1.1331225,2.68308558310141E-13
1.14062,2.67884455261891E-13
1.1481175,2.67459676658986E-13
1.155615,2.67034252243716E-13
1.1631125,2.66608210686365E-13
1.17061,2.66181579631677E-13
1.1781075,2.65754385743028E-13
1.185605,2.65326654744394E-13
1.1931025,2.64898411460267E-13
1.2006,2.64469679853593E-13
1.2080975,2.6404048306187E-13
1.215595,2.63610843431477E-13
1.2230925,2.63180782550338E-13
1.23059,2.62750321279008E-13
1.2380875,2.62319479780268E-13
1.245585,2.61888277547292E-13
1.2530825,2.61456733430483E-13
1.26058,2.61024865663024E-13
1.2680775,2.60592691885233E-13
1.275575,2.60160229167764E-13
1.2830725,2.5972749403373E-13
1.29057,2.592945024798E-13
1.2980675,2.58861269996311E-13
1.305565,2.58427811586464E-13
1.3130625,2.57994141784642E-13
1.32056,2.57560274673893E-13
1.3280575,2.5712622390263E-13
1.335555,2.56692002700574E-13
1.3430525,2.56257623893998E-13
1.35055,2.55823099920288E-13
1.3580475,2.55388442841873E-13
1.365545,2.54953664359541E-13
1.3730425,2.54518775825188E-13
1.38054,2.54083788254013E-13
1.3880375,2.53648712336201E-13
1.395535,2.53213558448111E-13
1.4030325,2.52778336662996E-13
1.41053,2.52343056761284E-13
1.4180275,2.51907728240435E-13
1.425525,2.51472360324397E-13
1.4330225,2.51036961972685E-13
1.44052,2.506015418891E-13
1.4480175,2.50166108530102E-13
1.455515,2.49730670112865E-13
1.4630125,2.49295234623011E-13
1.47051,2.48859809822066E-13
1.4780075,2.48424403254623E-13
1.485505,2.47989022255248E-13
1.4930025,2.47553673955131E-13
1.5005,2.47118365288501E-13
1.5079975,2.46683102998809E-13
1.515495,2.46247893644696E-13
1.5229925,2.45812743605756E-13
1.53049,2.45377659088104E-13
1.5379875,2.44942646129757E-13
1.545485,2.44507710605836E-13
1.5529825,2.440728582336E-13
1.56048,2.43638094577326E-13
1.5679775,2.43203425053023E-13
1.575475,2.42768854933016E-13
1.5829725,2.42334389350379E-13
1.59047,2.41900033303243E-13
1.5979675,2.41465791658976E-13
1.605465,2.41031669158244E-13
1.6129625,2.40597670418957E-13
1.62046,2.40163799940105E-13
1.6279575,2.39730062105494E-13
1.635455,2.39296461187379E-13
1.6429525,2.38863001350002E-13
1.65045,2.38429686653046E-13
1.6579475,2.37996521054991E-13
1.665445,2.375635084164E-13
1.6729425,2.37130652503116E-13
1.68044,2.36697956989393E-13
1.6879375,2.36265425460943E-13
1.695435,2.35833061417922E-13
1.7029325,2.35400868277851E-13
1.71043,2.34968849378467E-13
1.7179275,2.34537007980513E-13
1.725425,2.3410534727048E-13
1.7329225,2.33673870363275E-13
1.74042,2.33242580304852E-13
1.7479175,2.32811480074781E-13
1.755415,2.32380572588768E-13
1.7629125,2.31949860701127E-13
1.77041,2.31519347207209E-13
1.7779075,2.3108903484578E-13
1.785405,2.30658926301359E-13
1.7929025,2.30229024206514E-13
1.8004,2.29799331144115E-13
1.8078975,2.29369849649546E-13
1.815395,2.28940582212888E-13
1.8228925,2.28511531281049E-13
1.83039,2.28082699259876E-13
1.8378875,2.27654088516211E-13
1.845385,2.27225701379936E-13
1.8528825,2.26797540145962E-13
1.86038,2.26369607076202E-13
1.8678775,2.25941904401501E-13
1.875375,2.25514434323542E-13
1.8828725,2.25087199016718E-13
1.89037,2.24660200629973E-13
1.8978675,2.24233441288614E-13
1.905365,2.23806923096098E-13
1.9128625,2.23380648135782E-13
1.92036,2.22954618472654E-13
1.9278575,2.2252883615503E-13
1.935355,2.22103303216226E-13
1.9428525,2.216780216762E-13
1.95035,2.21252993543174E-13
1.9578475,2.20828220815222E-13
1.965345,2.20403705481835E-13
1.9728425,2.1997944952546E-13
1.98034,2.19555454923015E-13
1.9878375,2.19131723647372E-13
1.995335,2.18708257668821E-13
2.0028325,2.18285058956506E-13
2.01033,2.17862129479838E-13
2.0178275,2.17439471209875E-13
2.025325,2.1701708612069E-13
2.0328225,2.165949761907E-13
2.04032,2.16173143403981E-13
2.0478175,2.15751589751554E-13
2.055315,2.1533031723264E-13
2.0628125,2.14909327855905E-13
2.07031,2.14488623640664E-13
2.0778075,2.1406820661807E-13
2.085305,2.13648078832276E-13
2.0928025,2.1322824234157E-13
2.1003,2.12808699219488E-13
2.1077975,2.12389451555902E-13
2.115295,2.11970501458077E-13
2.1227925,2.11551851051715E-13
2.13029,2.11133502481962E-13
2.1377875,2.10715457914394E-13
2.145285,2.10297719535983E-13
2.1527825,2.0988028955603E-13
2.16028,2.0946317020708E-13
2.1677775,2.09046363745804E-13
2.175275,2.08629872453862E-13
2.1827725,2.08213698638739E-13
2.19027,2.07797844634553E-13
2.1977675,2.07382312802842E-13
2.205265,2.06967105533323E-13
2.2127625,2.06552225244623E-13
2.22026,2.06137674384989E-13
2.2277575,2.05723455432969E-13
2.235255,2.05309570898071E-13
2.2427525,2.04896023321392E-13
2.25025,2.04482815276222E-13
2.2577475,2.04069949368627E-13
2.265245,2.03657428237997E-13
2.2727425,2.03245254557578E-13
2.28024,2.02833431034973E-13
2.2877375,2.02421960412617E-13
2.295235,2.02010845468225E-13
2.3027325,2.01600089015221E-13
2.31023,2.01189693903131E-13
2.3177275,2.00779663017957E-13
2.325225,2.00369999282524E-13
2.3327225,1.999607056568E-13
2.34022,1.99551785138191E-13
2.3477175,1.99143240761808E-13
2.355215,1.9873507560071E-13
2.3627125,1.98327292766125E-13
2.37021,1.97919895407637E-13
2.3777075,1.97512886713354E-13
2.385205,1.97106269910047E-13
2.3927025,1.96700048263268E-13
2.4002,1.96294225077434E-13
2.4076975,1.95888803695899E-13
2.415195,1.95483787500984E-13
2.4226925,1.95079179913998E-13
2.43019,1.94674984395222E-13
2.4376875,1.94271204443877E-13
2.445185,1.93867843598059E-13
2.4526825,1.93464905434658E-13
2.46018,1.93062393569244E-13
2.4676775,1.92660311655936E-13
2.475175,1.92258663387244E-13
2.4826725,1.91857452493881E-13
2.49017,1.91456682744566E-13
2.4976675,1.91056357945787E-13
2.505165,1.9065648194155E-13
2.5126625,1.90257058613108E-13
2.52016,1.89858091878651E-13
2.5276575,1.89459585692994E-13
2.535155,1.8906154404723E-13
2.5426525,1.8866397096836E-13
2.55015,1.88266870518905E-13
2.5576475,1.87870246796502E-13
2.565145,1.87474103933461E-13
2.5726425,1.87078446096322E-13
2.58014,1.86683277485373E-13
2.5876375,1.8628860233416E-13
2.595135,1.8589442490897E-13
2.6026325,1.85500749508296E-13
2.61013,1.8510758046228E-13
2.6176275,1.84714922132141E-13
2.625125,1.8432277890958E-13
2.6326225,1.83931155216168E-13
2.64012,1.83540055502714E-13
2.6476175,1.83149484248619E-13
2.655115,1.82759445961204E-13
2.6626125,1.82369945175033E-13
2.67011,1.81980986451204E-13
2.6776075,1.81592574376638E-13
2.685105,1.81204713563342E-13
2.6926025,1.80817408647659E-13
2.7001,1.80430664289502E-13
2.7075975,1.80044485171579E-13
2.715095,1.79658875998589E-13
2.7225925,1.79273841496422E-13
2.73009,1.78889386411327E-13
2.7375875,1.78505515509085E-13
2.745085,1.78122233574151E-13
