Freq [GHz],barium-dipole | output_power [],"barium-loop | mag(S(waveport1:1,antenna))**2 []",ferrite-dipole | output_power [],"ferrite-loop | mag(S(waveport1:1,antenna))**2 []",silver-dipole | output_power [],"silver-loop | mag(S(waveport1:1,antenna))**2 []"
0.0262016806722689,6.70325294961661e-09,1.0641954845239848e-08,1.20788681745036e-09,2.3878977254591122e-09,1.6313267133526798e-12,1.3859921001706526e-13
0.033636176470588225,1.2307068589329616e-08,1.7537634978458838e-08,2.203840503493286e-09,3.934995466355087e-09,4.303924385238237e-12,1.4034003648413944e-13
0.04107067226890755,1.959424228941198e-08,2.6146564397897905e-08,3.5274280748645995e-09,5.866443857821631e-09,7.951596170069818e-12,1.423759102562869e-13
0.048505168067226885,2.8563944884066166e-08,3.6468574720109696e-08,5.1650316173501865e-09,8.182190104095343e-09,1.2547721421291053e-11,1.447613082602992e-13
0.05593966386554621,3.9215207716181776e-08,4.850345835528417e-08,7.103649783061229e-09,1.0882147583724203e-08,1.8065679492345554e-11,1.4745585183306623e-13
0.06337415966386553,5.154505672875187e-08,6.22509652369338e-08,9.339145303311138e-09,1.3966175285091228e-08,2.4478849736676943e-11,1.504371908808134e-13
0.07080865546218487,6.554901490088584e-08,7.771079927999164e-08,1.187402416840954e-08,1.743405300374817e-08,3.176061150772887e-11,1.5367368613170382e-13
0.0782431512605042,8.122257049651552e-08,9.48826138210764e-08,1.471094541999857e-08,2.1285398844464478e-08,3.9884381001303874e-11,1.5713177138519984e-13
0.08567764705882353,9.856148740748431e-08,1.1376600833267495e-07,1.7851284531597874e-08,2.5519715971648568e-08,4.88296861865976e-11,1.607809228453939e-13
0.09311214285714285,1.175621105487586e-07,1.3436051821721476e-07,2.1293711217519668e-08,3.013586741433187e-08,5.858893863971497e-11,1.6457261431206832e-13
0.10054663865546218,1.3822085844699987e-07,1.5666562931306874e-07,2.5036552390707642e-08,3.513358011215033e-08,6.915618220251022e-11,1.685250376373222e-13
0.1079811344537815,1.605341263939088e-07,1.8068087814236933e-07,2.9078248127546427e-08,4.0514820806505886e-08,8.052524981585549e-11,1.7271083928955225e-13
0.11541563025210085,1.844981538355833e-07,2.0640581607839782e-07,3.3417997534092566e-08,4.6279147390873734e-08,9.268855982857905e-11,1.7700040499498969e-13
0.12285012605042017,2.1010911612957043e-07,2.3383987227088748e-07,3.8055311852970326e-08,5.242594063653702e-08,1.056379488653397e-10,1.8135120164220642e-13
0.1302846218487395,2.3736319012978337e-07,2.6298245318124175e-07,4.29896988486277e-08,5.895503784980849e-08,1.1936529136682787e-10,1.8573743378470524e-13
0.13771911764705883,2.662566051000419e-07,2.938329249464906e-07,4.8220528905434804e-08,6.586619459833512e-08,1.3386368730976183e-10,1.9013480331959218e-13
0.14515361344537814,2.967856514955254e-07,3.2639061819552397e-07,5.374701200919932e-08,7.315917303024185e-08,1.4912766754948647e-10,1.9452114541840524e-13
0.15258810924369748,3.289466232334621e-07,3.6065482692474666e-07,5.9568349069214586e-08,8.08337188540465e-08,1.6515184395678343e-10,1.9887636019748824e-13
0.16002260504201682,3.627358025493897e-07,3.966248089510919e-07,6.568375768511672e-08,8.888956773574109e-08,1.8193108486420115e-10,2.0318246727102725e-13
0.16745710084033616,3.9814943154609596e-07,4.3429978595706086e-07,7.209251279664848e-08,9.732644394077253e-08,1.9946113968535263e-10,2.074235737366653e-13
0.17489159663865544,4.351837437146156e-07,4.736789436513193e-07,7.879390164768837e-08,1.0614406102285189e-07,2.1773794689769782e-10,2.115858199795786e-13
0.18232609243697478,4.7383498125015775e-07,5.147614319069666e-07,8.578721247374685e-08,1.1534212197677424e-07,2.3675750536378376e-10,2.156572952421907e-13
0.18976058823529413,5.140994896370462e-07,5.575463649136834e-07,9.307174527765076e-08,1.249203195330417e-07,2.565165305130005e-10,2.1962793342991728e-13
0.19719508403361347,5.559736820101635e-07,6.020328213342495e-07,1.00646807769385e-07,1.3487833641497293e-07,2.7701220709957424e-10,2.2348939399692444e-13
0.2046295798319328,5.994539721199422e-07,6.482198444678562e-07,1.0851170763115284e-07,1.4521584560399623e-07,2.982417321466642e-10,2.272349333511375e-13
0.2120640756302521,6.445367184439207e-07,6.961064424195677e-07,1.1666573655548091e-07,1.559325105998862e-07,3.202027110548514e-10,2.308592711261379e-13
0.21949857142857143,6.912181781560116e-07,7.456915882760503e-07,1.2510815692917055e-07,1.670279856781983e-07,3.4289349769492326e-10,2.343584550180583e-13
0.22693306722689077,7.394945975924456e-07,7.969742202875027e-07,1.338382280038332e-07,1.7850191614316514e-07,3.663125260106243e-10,2.3772972716113176e-13
0.2343675630252101,7.893622512653566e-07,8.499532420557693e-07,1.4285521837161169e-07,1.9035393857541627e-07,3.9045828561190347e-10,2.409713943787835e-13
0.2418020588235294,8.408175750376438e-07,9.046275227285924e-07,1.5215845011368534e-07,2.0258368107368069e-07,4.1532958488411294e-10,2.4408270407259774e-13
0.24923655462184874,8.938570621075089e-07,9.609958971999714e-07,1.6174726431833275e-07,2.1519076348975508e-07,4.409253454880735e-10,2.4706372701375483e-13
0.2566710504201681,9.484772020467827e-07,1.019057166316601e-06,1.7162100130209181e-07,2.281747976560689e-07,4.672445036746251e-10,2.4991524787850134e-13
0.2641055462184874,1.0046743959599861e-06,1.0788100970903471e-06,1.8177898235914048e-07,2.415353876052431e-07,4.942863417544903e-10,2.526386640182626e-13
0.27154004201680676,1.0624449545067108e-06,1.1402534229167035e-06,1.9222050933606628e-07,2.5527212978111057e-07,5.220504958341811e-10,2.552358926703583e-13
0.2789745378151261,1.1217851842747079e-06,1.2033858437992327e-06,2.029448832009392e-07,2.6938461324074016e-07,5.505366180359575e-10,2.577092865903006e-13
0.2864090336134454,1.1826914157380192e-06,1.2682060265799286e-06,2.1395140627468699e-07,2.8387241984704804e-07,5.797443783556386e-10,2.6006155791378075e-13
0.2938435294117647,1.2451600499944823e-06,1.3347126051754095e-06,2.2523938487818707e-07,2.987351244516967e-07,6.096734996352005e-10,2.622957099282184e-13
0.30127802521008407,1.3091875011318013e-06,1.4029041808190015e-06,2.3680812606802926e-07,3.139722950679885e-07,6.403237144366374e-10,2.6441497634303185e-13
0.3087125210084034,1.3747701923572309e-06,1.4727793223085803e-06,2.486569401518019e-07,3.295834930335941e-07,6.716947825483838e-10,2.664227675879185e-13
0.3161470168067227,1.4419046372203788e-06,1.544336566260171e-06,2.6078516964294263e-07,3.4556827316296196e-07,7.037867334762239e-10,2.6832262363342837e-13
0.32358151260504203,1.510587400885773e-06,1.6175744173672602e-06,2.7319217545492274e-07,3.619261838893599e-07,7.365997508224224e-10,2.701181728128758e-13
0.3310160084033614,1.580815049137002e-06,1.6924913486657089e-06,2.8587731844105903e-07,3.786567673965413e-07,7.701340202256264e-10,2.7181309612448233e-13
0.3384505042016807,1.6525841486910446e-06,1.7690858018043384e-06,2.988399414802559e-07,3.9575955974010566e-07,8.043897423770267e-10,2.7341109650406303e-13
0.34588500000000005,1.725891267756031e-06,1.8473561873210105e-06,3.1207935873603873e-07,4.1323409095864713e-07,8.393671420153044e-10,2.74915872578147e-13
0.35331949579831934,1.8007329746736963e-06,1.9273008849242624e-06,3.2559488179908275e-07,4.310798851748831e-07,8.750664460337554e-10,2.7633109643287577e-13
0.3607539915966387,1.8771058098512518e-06,2.0089182437803115e-06,3.393858283170312e-07,4.492964606869638e-07,9.114878811980533e-10,2.7766039496304373e-13
0.368188487394958,1.9550061766813206e-06,2.0922065828055724e-06,3.534515456460302e-07,4.678833300502415e-07,9.486316736479003e-10,2.789073343969617e-13
0.37562298319327736,2.034430436616374e-06,2.177164190964424e-06,3.677913902359962e-07,4.868400001498103e-07,9.86498049331389e-10,2.800754076247109e-13
0.3830574789915967,2.1153749609235204e-06,2.263789327572304e-06,3.824047182313605e-07,5.061659722641455e-07,1.02508724086605e-09,2.811680239893471e-13
0.390491974789916,2.197836307524264e-06,2.35208022260401e-06,3.9729087992893954e-07,5.258607421202633e-07,1.0643996075707332e-09,2.821885012317218e-13
0.3979264705882353,2.2818112014519884e-06,2.4420350770072546e-06,4.124492203901753e-07,5.459237999407814e-07,1.104435622200112e-09,2.8314005930946116e-13
0.40536096638655467,2.3672963735686493e-06,2.5336520630211473e-06,4.278790845038985e-07,5.663546304833575e-07,1.1451957615057755e-09,2.840258158388783e-13
0.412795462184874,2.454288523408781e-06,2.626929324499978e-06,4.4357982240941305e-07,5.871527130729608e-07,1.1866804982676183e-09,2.848487829349937e-13
0.4202299579831933,2.5427842705552927e-06,2.7218649772417924e-06,4.595507976459073e-07,6.083175216274737e-07,1.2288902951292578e-09,2.856118652493558e-13
0.42766445378151263,2.632780222020542e-06,2.8184571093219855e-06,4.757913758593931e-07,6.298485246771378e-07,1.2718256131406164e-09,2.863178590278569e-13
0.435098949579832,2.7242729792032314e-06,2.916703781431732e-06,4.923009222232462e-07,6.517451853783587e-07,1.315486889276756e-09,2.8696945203133735e-13
0.4425334453781513,2.817259096660659e-06,3.016603027221261e-06,5.090787979670833e-07,6.74006961522411e-07,1.3598743596276214e-09,2.875692241804623e-13
0.44996794117647065,2.911735105661318e-06,3.1181528536478168e-06,5.261243623597463e-07,6.966333055395784e-07,1.4049881604062427e-09,2.8811964880328825e-13
0.45740243697478994,3.007697542466824e-06,3.2213512413283216e-06,5.434369750337753e-07,7.196236644992806e-07,1.4508284349330445e-09,2.8862309437911176e-13
0.4648369327731093,3.1051431803333956e-06,3.3261961448965857e-06,5.610160129724806e-07,7.429774801067238e-07,1.4973956861111206e-09,2.890818266858585e-13
0.4722714285714286,3.204069123211812e-06,3.432685493365164e-06,5.788608773698741e-07,7.666941886966208e-07,1.5446909185935274e-09,2.8949801127043166e-13
0.47970592436974796,3.3044724996094908e-06,3.540817190491506e-06,5.969709712177997e-07,7.907732212245119e-07,1.5927151742921482e-09,2.898737161722809e-13
0.48714042016806725,3.40635028317084e-06,3.6505891151486643e-06,6.153456891996813e-07,8.152140032562255e-07,1.6414693258805856e-09,2.9021091484006336e-13
0.4945749159663866,3.5096987957706026e-06,3.761999121700232e-06,6.339843910314208e-07,8.400159549559925e-07,1.6909535337617799e-09,2.905114891897731e-13
0.5020094117647059,3.6145141878446005e-06,3.875045040379493e-06,6.528864272311995e-07,8.651784910737052e-07,1.7411677709858077e-09,2.9077723276020795e-13
0.5094439075630253,3.72079265481724e-06,3.989724677672851e-06,6.720511487624074e-07,8.907010209318486e-07,1.7921120480635964e-09,2.91009853928265e-13
0.5168784033613446,3.828531083699635e-06,4.10603581670724e-06,6.914779134329268e-07,9.165829484125347e-07,1.8437869513759233e-09,2.912109791523155e-13
0.5243128991596638,3.9377269034646334e-06,4.223976217641658e-06,7.111660844143244e-07,9.428236719451432e-07,1.8961935185838157e-09,2.913821562169973e-13
0.5317473949579833,4.048377556040572e-06,4.34354361806255e-06,7.311150252178457e-07,9.694225844949598e-07,1.9493327986999426e-09,2.915248574571758e-13
0.5391818907563025,4.1604801684621686e-06,4.464735733383076e-06,7.513241391910323e-07,9.963790735532759e-07,2.0032056930691484e-09,2.916404829426928e-13
0.5466163865546219,4.274031171834739e-06,4.587550257246278e-06,7.717929177214861e-07,1.0236925211292989e-06,2.057812776683583e-09,2.9173036360882503e-13
0.5540508823529412,4.389026904120315e-06,4.711984861931734e-06,7.925208639801004e-07,1.0513623037442935e-06,2.1131545808563094e-09,2.9179576432031717e-13
0.5614853781512605,4.505463788592191e-06,4.8380371987660495e-06,8.135074593866776e-07,1.0793877924282977e-06,2.1692316379760034e-09,2.9183788685932013e-13
0.5689198739495799,4.623338852283381e-06,4.965704898536733e-06,8.34752031425519e-07,1.1077683527196423e-06,2.2260444880436234e-09,2.9185787282972e-13
0.5763543697478992,4.742649382711988e-06,5.094985571909666e-06,8.562538411672482e-07,1.1365033446677808e-06,2.283593674344357e-09,2.9185680647218585e-13
0.5837888655462186,4.8633926625257505e-06,5.225876809849832e-06,8.780121522325757e-07,1.1655921228394665e-06,2.3418797472384614e-09,2.918357173858512e-13
0.5912233613445379,4.9855657742656125e-06,5.358376184045345e-06,9.000263236574042e-07,1.1950340363287314e-06,2.4009034967257165e-09,2.917955831538504e-13
0.5986578571428572,5.109165556231979e-06,5.492481247334832e-06,9.222958309367401e-07,1.224828428770787e-06,2.4606660052981414e-09,2.9173733187110313e-13
0.6060923529411765,5.234188831891613e-06,5.628189534137711e-06,9.448201566381385e-07,1.2549746383600468e-06,2.521168373205999e-09,2.916618445736529e-13
0.6135268487394958,5.360632432289117e-06,5.76549856088769e-06,9.675987669934301e-07,1.2854719978725276e-06,2.582411524109008e-09,2.91569957569698e-13
0.6209613445378152,5.488493215853056e-06,5.904405826469104e-06,9.906310692021502e-07,1.3163198346926986e-06,2.6443957435228664e-09,2.914624646730882e-13
0.6283958403361345,5.6177680471956016e-06,6.044908812656136e-06,1.0139164571336949e-06,1.3475174708449874e-06,2.7071211728633544e-09,2.91340119340608e-13
0.6358303361344538,5.748453820233815e-06,6.187004984554849e-06,1.0374543289830742e-06,1.3790642230299718e-06,2.7705880295208186e-09,2.9120363671483146e-13
0.6432648319327732,5.8805477990865915e-06,6.330691791047809e-06,1.0612441375897545e-06,1.4109594026654312e-06,2.8347974906543693e-09,2.910536955746582e-13
0.6506993277310925,6.014047501527446e-06,6.4759666652414e-06,1.0852853732344507e-06,1.4432023159322659e-06,2.8997513910367876e-09,2.908909401959323e-13
0.6581338235294119,6.14895044806878e-06,6.622827024915539e-06,1.1095775264468433e-06,1.47579226382533e-06,2.965451573354653e-09,2.907159821247768e-13
0.6655683193277312,6.285253903060158e-06,6.771270272975864e-06,1.1341200319183315e-06,1.5087285422092447e-06,3.0318993105502276e-09,2.90529401866402e-13
0.6730028151260504,6.422954639096377e-06,6.921293797908208e-06,1.1589122171477911e-06,1.5420104418791273e-06,3.099094781829883e-09,2.903317504922928e-13
0.6804373109243698,6.562049373067269e-06,7.0728949742353255e-06,1.183953397491549e-06,1.575637248626331e-06,3.1670380425038317e-09,2.901235511687309e-13
0.6878718067226891,6.702534897407647e-06,7.226071162975703e-06,1.2092429023380678e-06,1.609608243309031e-06,3.2357292920375157e-09,2.899053006096668e-13
0.6953063025210084,6.844408460379334e-06,7.380819712104403e-06,1.2347801457435955e-06,1.6439227019277416e-06,3.3051695997071656e-09,2.8967747045694726e-13
0.7027407983193278,6.987667480362903e-06,7.5371379570159206e-06,1.26056457336316e-06,1.6785798957056006e-06,3.3753603594102345e-09,2.8944050859090974e-13
0.7101752941176471,7.1323093746805035e-06,7.695023220988832e-06,1.2865956323559822e-06,1.7135790911733638e-06,3.4463029632713073e-09,2.891948403743191e-13
0.7176097899159665,7.278331525557842e-06,7.854472815652175e-06,1.3128728075783533e-06,1.7489195502590977e-06,3.517998742859921e-09,2.8894086983257356e-13
0.7250442857142858,7.425731277717077e-06,8.015484041453526e-06,1.339395624169081e-06,1.7846005303823717e-06,3.5904489650374063e-09,2.8867898077305586e-13
0.7324787815126051,7.5745059740148145e-06,8.178054188128646e-06,1.3661636092171144e-06,1.820621284552842e-06,3.6636548934477292e-09,2.8840953784641926e-13
0.7399132773109245,7.724652887231462e-06,8.342180535172609e-06,1.393176252778471e-06,1.8569810614731663e-06,3.737617673856515e-09,2.881328875525482e-13
0.7473477731092437,7.876169072390406e-06,8.507860352312203e-06,1.4204329298318375e-06,1.8936791056460692e-06,3.812338085730432e-09,2.878493591938182e-13
0.7547822689075631,8.0290515423414e-06,8.675090899979717e-06,1.4479329930685435e-06,1.930714657485381e-06,3.8878168375939735e-09,2.875592657782207e-13
0.7622167647058824,8.183297361209055e-06,8.843869429787874e-06,1.4756758027722251e-06,1.968086953430949e-06,3.964054710036475e-09,2.8726290487481596e-13
0.7696512605042017,8.338904131984252e-06,9.014193185005858e-06,1.5036607990168577e-06,2.0057952260672677e-06,4.041053241003048e-09,2.869605594238771e-13
0.7770857563025211,8.495869779947534e-06,9.186059401036254e-06,1.5318874695980938e-06,2.0438387042455744e-06,4.118814421404514e-09,2.8665249850400754e-13
0.7845202521008404,8.65419222849679e-06,9.359465305892974e-06,1.560355302828475e-06,2.082216613209343e-06,4.197340241103651e-09,2.8633897805842275e-13
0.7919547478991598,8.813868938895252e-06,9.534408120679998e-06,1.5890637776937794e-06,2.1209281747229263e-06,4.276632159147968e-09,2.8602024158248187e-13
0.7993892436974791,8.974896599719949e-06,9.710885060070671e-06,1.6180123575854948e-06,2.159972607203177e-06,4.356690747065226e-09,2.8569652077446845e-13
0.8068237394957984,9.137271826024338e-06,9.888893332787753e-06,1.6472005044112618e-06,2.1993491258538868e-06,4.437516491932826e-09,2.853680361515442e-13
0.8142582352941177,9.300991502171189e-06,1.00684301420839e-05,1.676627674090629e-06,2.2390569428028354e-06,4.519110106178045e-09,2.8503499763268023e-13
0.821692731092437,9.466053903060305e-06,1.0249492686222596e-05,1.706293291624553e-06,2.279095267241248e-06,4.601473465787392e-09,2.8469760509032385e-13
